melandro	melandɾo̝
esgotar	ez̺ɣotaɾ
coroza	koɾoθa̝
estro	estɾo̝
escudela	eskuðɛla̝
miolo	miɔlo̝
alboio	alβojo
niño	niɲo̝
pastequeiro	pastɛkejɾo̝
mol	mɔl
pescar	peskaɾ
mergullo	meɾɣuʎo̝
farpar	faɾpaɾ
gorentar	ɡoɾentaɾ
chanchar	t͡ʃant͡ʃaɾ
corazón	koɾasoŋ
irto	iɾto̝
milladoiro	miʎaðojɾo̝
pandorgada	pandoɾɣaða̝
liscar	liskaɾ
barril	baril
pendurar	penduɾaɾ
barca	baɾka̝
costeiro	kostejɾo̝
couselo	kowselo̝
encantamento	eŋkantamɛnto̝
revirado	reβiɾaðo̝
xeada	ʃiaða̝
maravallada	maɾaβaʎaða̝
cavar	kaβaɾ
dona	dona̝
choromicas	t͡ʃoɾomika̝s
esperrechar	esperet͡ʃaɾ
pear	peaɾ
chanto	t͡ʃanto̝
senllo	senʎo̝
muxica	muʃika̝
xato	ʃato̝
non	noŋ
ocasión	ɔkasjoŋ
veciño	biθiɲo̝
centeo	θentew
tecer	teseɾ
nao	naʊ̯
camposanto	kamposanto̝
marcaxe	maɾkaʃe̝
doiro	dujɾo̝
cenrada	θenraða̝
zuchar	θut͡ʃaɾ
grade	ɡɾaðe̝
verdello	beɾðeʎo̝
francés	fɾanθes
vexiga	beʃiɣa̝
bustofreán	bustofɾeaŋ
cirigaita	siɾiɡajta̝
carreira	karejɾa̝
bogada	buɣaða̝
cerqueiro	seɾkejɾo̝
repenicar	repenikaɾ
froxel	fɾoʃɛl
latar	lataɾ
misto	misto̝
derregar	dereɣaɾ
planeta	planeta
pontenova	pontenɔβa̝
tollemerendas	toʎemeɾenda̝s
frete	fɾɛte̝
fresco	fɾesko̝
batán	bataŋ
rapaz	rapas
rafar	rafaɾ
burlar	buɾlaɾ
feito	fejto̝
toco	toko̝
aseitar	asejtaɾ
epa	ɛpa̝
