زرتشتی	zæɾtoʃtiː
درخشان	dɾæxʃɒːn,deɾæxʃɒːn
دریای مازندران	dæɾjɒːjemæzændæɾɒːn,dæɾjɒːjemɒːzændæɾɒːn
پساانسان	pæsɒːensɒːn
حیدرآباد	hejdæɾɒːbɒːd
مادرجد	mɒːdæɾd͡ʒædd
جوهر نمک	d͡ʒouːhæɾenæmæk
دیده‌بان	diːdebɒːn
به یاد آوردن	bejɒːdɒːvæɾdæn
یاد افتادن	jɒːdoftɒːdæn
روستا	ɾuːstɒː
بغل کردن	bæɢælkæɾdæn
سامانه خورشیدی	sɒːmɒːnexuːɾʃiːdiː
کاشته	kɒːʃte
سپتامبر	septɒːmbɾ
مادربزرگ	mɒːdæɾbozoɾɡ
دامن	dɒːmæn
موس	moʊs,muːs
قلب	ɢælb
نرمهٔ گوش	næɾmejeɡuːʃ
انباره	ænbæɾe
امان	æmɒːn
سقیط	sæɢiːt
آژانس ازدواج	ɒːʒɒːnsezdevɒːd͡ʒ
زنگبار	zænɡebɒːɾ
خود آوردن	xodɒːvæɾdæn
ازدواج	ezdevɒːd͡ʒ
آدرس	ɒːdɾes
دق آمدن	deɢɒːmædæn
شناریدن	ʃenɒːɾiːdæn
سفتر	seftæːɾ
خواهند خواست	xɒːhændxɒːst
هادسون	hɒːdsuːn
نه	noh,næh,næ
مرکز	mæɾkæz
دستور گرفتن	dæstuːɾɡeɾeftæn
گسترده	ɡostæɾde
آخ	ɒːx
انبار شدن	ænbɒːɾʃodæn
اختلاط کردن	extelɒːtkæɾdæn
لرزیدن	læɾziːdæn
لیموترش	liːmuːtoɾʃ
گمانه	ɡomɒːne
خاله‌زاده	xɒːlezɒːde
صبحانه	sobhɒːne
ماشین حساب	mɒːʃiːnehesɒːb
چوپان	t͡ʃuːpɒːn
تبریز	tæbɾiːz
محاصره گرفتن	mohɒːseɾeɡeɾeftæn
بازگو کردن	bɒːzɡuːkæɾdæn
نقش کشیدن	næɢʃkeʃiːdæn
بله	bæle
سپر	sepæɾ
دوک	duːk
حق زدن	hæɢɢzædæn
پوما	puːmɒː
چکرز	t͡ʃekeɾz
هخامنشیان	hæxɒːmæneʃiːɒːn
تخته زدن	tæxtezædæn
ژاله	ʒɒːle
سقلمه	soɢolme
بی‌مغز	biːmæɢz
اسلحه گرم	æslæheɡæɾm
لنز	lenz
برس کشیدن	boɾoskeʃiːdæn
کم صدا	kæmsedɒː
الف	ælef
آمو دریا	ɒːmuːdæɾjɒː
مگس انگبین	mæɡæsænɡæbiːn
کارفرما	kɒːɾfæɾmɒː
بانگ	bɒːnɡ
آغوش کشیدن	ɒːɢuːʃkeʃiːdæn
گران	ɡeɾɒːn
بدبختی کشیدن	bædbæxtiːkeʃiːdæn
ترخانه	tæɾxɒːnæ
لعنتی	læʔnætiː
انجیل	end͡ʒiːl
هفته	hæfte
آقا	ɒːɢɒː,ɒːĝɒː
بیوشیمی	biːoʃiːmiː
گشتاپو	ɡestɒːpuː
بوتان	buːtɒːn
تعارف کردن	tæʔɒːɾofkæɾdæn
دیسک سخت	diːskesæxt
رختخواب	ɾæxtexɒːb
ادعا	eddeʔɒː
آذربایجان	ɒːzæɾbɒːjed͡ʒɒːn,ɒːzæɾbɒːjd͡ʒɒːn
کاهو	kɒːhuː
نافرمان	nɒːfæɾmɒːn
ماشین‌حساب	mɒːʃiːnhesɒːb
استراحت کردن	esteɾɒːhætkæɾdæn
پیرانا	piːɾɒːnɒː
ساعد	sɒːed
کیف زدن	kiːfzædæn
نیروگاه	niːɾuːɡɒːh
چرکس	t͡ʃæɾkæs
آجر	ɒːd͡ʒoɾ
زشت	zeʃt
بافتن	bɒːftæn
دست آوردن	dæstɒːvæɾdæn
قوم	ɢoʊm
ایمیل	iːmejl
خاموشی	xɒːmuːʃiː
دایرةالمعارف	dɒːjeɾætolmæʔɒːɾef
کرایه	keɾɒːjæ
سوراخ کون	suːɾɒːxekuːn
برگشت خوردن	bæɾɡæʃtxoɾdæn
سوهان کردن	sohɒːnkæɾdæn
مرجان	mæɾd͡ʒɒːn
دلارام	delɒːɾɒːm
هیدرولیکی	hiːdɾoliːkiː
علم اخلاق	ʔelmeæxlɒːɢ
توندرا	tuːndɾɒː
اسپانیایی	espɒːniːjɒːiː
اجاق	od͡ʒɒːɢ
پارک	pɒːɾk
گچ	ɡæt͡ʃ
کفتار	kæftɒːɾ
عبادت کردن	ʔebɒːdætkæɾdæn
مستاجر	mostɒːʔd͡ʒeɾ
سرنا	soɾnɒː
کفش‌دوزک	kæfʃduːzæk
کارگر	kɒːɾɡæɾ
مؤلف	moʔællef
تسلیم شدن	tæsliːmʃodæn
شرکت	ʃeɾkæt
دسر	deseɾ
الاغ	olɒːɢ
سقط	seɢt
بیان	bæjɒːn,bejɒːn
هاشور زدن	hɒːʃuːɾzædæn
چون	t͡ʃon,t͡ʃuːn
یانگتسه	jænɡtse
شوارزنگر	ʃvɒːɾzeneɡeɾ
اسب	æsb
سراب	sæɾɒːb
کردستان	koɾdestɒːn
یوز	juːz
دال سیاه	dɒːlesiːjɒːh
جمهوری اسلامی ایران	d͡ʒomhuːɾiːjeeslɒːmiːjeiːɾɒːn
هشتسد	hæʃtsæd
آشور	ɒːʃuːɾ
بیتلز	biːtlz
دلربا	delɾobɒː
خبر	xæbæɾ
آستریکس	ɒːsteɾjks
بازگو	bɒːzɡuː
به دنیا آوردن	bedonjɒːɒːvæɾdæn
عجله کار شیطان است	æd͡ʒælekɒːɾeʃejtɒːnæst
تمشک	tæmeʃk
قدم	ɢædæm
چاه زدن	t͡ʃɒːhzædæn
هزارپا	hezɒːɾpɒː
شوان	ʃævɒːn,ʃovɒːn
حفظ شدن	hefzʃodæn
پست هوائی	posthævɒːjiː
بورس	buːɾs
سرور	soɾuːɾ,sæɾvæɾ
حماقت زدن	hemɒːɢætzædæn
فاکس	fɒːks
گمان 	ɡomɒːn
عطسه گرفتن	ætseɡeɾeftæn
خداحافظی کردن	xodɒːhɒːfeziːkæɾdæn
شاه‌دانه	ʃɒːhdɒːne
آواشناسی	ɒːvæʃenɒːsiː
اره كردن	æɾɾekæɾdæn
کورسو	kuːɾsuː
توافق	tævɒːfoɢ
هزاره	hezɒːɾe
سرانجام	sæɾænd͡ʒɒːm
بیمناک	biːmnɒːk
روايت	ɾævɒːjæt
عشق‌بازی	eʃɢbɒːziː
نشیمن	neʃiːmæn
تاب	tɒːb
نام‌واژه	nɒːmvɒːʒe
مشنگ	mæʃænɡ
هدایت	hedɒːjæt
اذان	æzɒːn
بست	bæst
ریتم	ɾiːtm
برلوسکونی	beɾluːskuːniː
منگنه	mænɡæne
اس ام اس	esemes,esemes
خوشحال	xoʃhɒːl
تاریک	tɒːɾiːk
تماس گرفتن	tæmɒːsɡeɾeftæn,tæmɒːsɡeɾeftæn
هوار زدن	hævɒːɾzædæn
پل	pol
پرث	peɾs
حرص زدن	heɾszædæn
مهندس	mohændes
شورش کردن	ʃuːɾeʃkæɾdæn
مرخصی	moɾæxxæsiː
چیز	t͡ʃiːz
موشک خوردن	muːʃækxoɾdæn
گپيدن	ɡæpiːdæn
دولت اسرائیل	douːlæteesɾɒːʔiːl
چشیدن	t͡ʃeʃiːdæn
لالمونی	lɒːlmuːniː
جار	d͡ʒɒːɾ
دندان زدن	dændɒːnzædæn
تخته‌پاک‌کن	tæxtepɒːkkon
جمله‌شناسی	d͡ʒomleʃenɒːsiː
نورنبرگ	nuːɾænbeɾɡ
مرض	mæɾæz
هماهنگ	hæmɒːhænɡ
چمبر	t͡ʃæmbæɾ
پنیر	pæniːɾ
زرشک	zeɾeʃk
کانی	kɒːniː
روش علمی	ɾæveʃeelmiː
لاک‌پشت	lɒːkpoʃt
نیتریک اسید	niːtɾiːkæsiːd
واژگان	vɒːʒeɡɒːn
چراغ زدن	t͡ʃeɾɒːɢzædæn
روایت شدن	ɾævɒːjætʃodæn
سود سهام	suːdesæhɒːm
خرید کردن	xæɾiːdkæɾdæn
شاهد	ʃɒːhed
جانورشناسی	d͡ʒɒːnvæɾʃenɒːsiː
دق	deɢ
بهانه گرفتن	bæhɒːneɡeɾeftæn
کرنر زدن	koɾneɾzædæn
جستجو کردن	d͡ʒostod͡ʒuːkæɾdæn,d͡ʒosted͡ʒuːkæɾdæn
نفوس بد	nofuːsebæd
زمینی‌سازی	zæmiːniːsɒːziː
نخستین	noxostiːn
کمردرد زدن	kæmæɾdæɾdzædæn
مو	mo,muː
شمالگان	ʃomæleɡɒːn
برفک	bæɾfæk
زردچوبه	zæɾdt͡ʃuːbe
گرفتن	ɡeɾæftæn,ɡeɾeftæn
درصد	dæɾsæd
بوفالو	buːfɒːlo
انیمی	æniːme
ماگاس	mɒːɡɒːs
عذاب	æzɒːb
تعظیم کردن	tæʔziːmkæɾdæn
دردسر	dæɾdesæɾ
ملخ زدن	mælæxzædæn
پنج‌شنبه	pænd͡ʒʃænbe
چگونه	t͡ʃeɡuːne
برن	beɾn
استونی	estuːniː
بیدار شدن	biːdɒːɾʃodæn
زنبور عسل	zænbuːɾeʔæsæl,zænbuːɾeæsæl
ابا	æbɒː
پسرعمو	pesæɾæmuː,pesæɾʔæmuː
باز	bɒːz
اجماع	ed͡ʒmɒːʔ
دیرتر	diːɾtæɾ
راننده	ɾɒːnænde
آب کردن	ɒːbkæɾdæn
میمون	mejmuːn
تضاد	tæzzɒːd
بغل	bæɢæl
عنبر	ʔænbæɾ
بانو	bɒːnuː
شامپو زدن	ʃæmpuːzædæn
وضعیت	vædiːjet
مخفی	mæxfiː
الله	ællɒːh
امپریالیسم	æmpeɾiːjɒːliːsm
بال بال	bɒːlbɒːl
سرکرده	sæɾkæɾde
غریبه	ɢæɾiːbe
حركت دادن	hæɾekætdɒːdæn
هش	hæʃ
آفتاب‌پرست	ɒːftɒːbpæɾæst
گفته شدن	ɡofteʃodæn
مبهم	mobhæm
جشن	d͡ʒɒːʃn
هوشمند	huːʃmænd,huːŝmænd
کوبا	kuːbɒː
شتک	ʃætæk
این ماه	iːnmɒːh
خط زدن	xætzædæn
یاد دادن	jɒːddɒːdæn,jɒːddɒːdæn
مالدیو	mɒːldiːv
آتش‌بس	ɒːtæʃbæs
بشارت	beʃɒːɾæt
طرز فکر	tæɾzefekɾ
زانو زدن	zɒːnuːzædæn
حواجه‌زاده	xɒːd͡ʒezɒːde
تحول	tæhævvol
شخم	ʃoxm
قمار	ɢomɒːɾ
محو کردن	mæhvkæɾdæn
تعریف	tæʔɾiːf
دارکوب	dɒːɾkuːb
نیک	niːk
افیون	æfjuːn
صفحه اصلی	sæfhejeæsliː
نارنگ	nɒːɾenɡ,nɒːɾænɡ
نوین	noviːn
دستور دادن	dæstuːɾdɒːdæn
تصدیق	tæsdiːɢ
فیلم ترسناک	fiːlmetæɾsnɒːk
بندباز	bændbɒːz
پیچ زدن	piːt͡ʃzædæn
پرونده	pæɾvænde
تونل کشیدن	tuːnelkeʃiːdæn
فضانورد	fæzɒːnævæɾd
حزب‌الله	hezbollɒːh
جعبه	d͡ʒæʔbe
فوریه	fevɾiːje
عقب زدن	æɢæbzædæn
بخارا	boxɒːɾɒː
درستی	doɾostiː
بنگاه تجاری	bonɡɒːheted͡ʒɒːɾiː
کعبه	kæʔbe
تبسم	tæbæssom
آلومینیم	ɒːluːmiːniːjom
بخواهند	bexɒːhænd
روز پیروزی	ɾuːzepiːɾuːziː
مشام زدن	mæʃɒːmzædæn
استارباکس	estɒːɾbɒːks
گره زدن	ɡeɾehzædæn
چکش	t͡ʃækoʃ
لاس	lɒːs
شاد	ŝɒːd
سنباده	sombɒːde
اتاق گاز	otɒːɢeɡɒːz
مشکل	moʃkel
هیمه	hiːmæ
پرده	pæɾde
گفت و گو	ɡoftoɡuː
نوه	næve
نمایشگاه	næmɒːjeʃɡɒːh
حساب بردن	hesɒːbboɾdæn
ژوراسیک	ʒuːɾɒːsiːk
زیر سیگاری	ziːɾsiːɡɒːɾiː
دستور	dæstuːɾ
چشم زهر	t͡ʃeʃmzæhɾ
تمیز کردن	tæmiːzkæɾdæn
مرگ	mæɾɡ
ژانویه	ʒɒːnviːje
مسیحیت	mæsiːhiːjæt
تهرون	tehɾuːn
چرند	t͡ʃæɾænd
هرزه‌نگاری	hæɾzeneɡɒːɾiː
زنجیر زدن	zænd͡ʒiːɾzædæn
هشتصد	hæʃtsæd
اتو کردن	otuːkæɾdæn
سرسرا	sæɾsæɾɒː
خدمت کردن	xedmætkæɾdæn,xedmætkæɾdæn
پارو	pɒːɾuː
اعضا	æzɒː
قرقیزی	ɢiːɾɢiːziː
فربود	fæɾbuːd
صحرا	sæhɾɒː
شعاع	ʃoʔɒːʔ
کادمیوم	kɒːdmiːjom
حرف گرفتن	hæɾfɡeɾeftæn
حالت نهادی	hɒːlætenæhɒːdiː
شربت	ʃæɾbæt
آرزو	ɒːɾezuː
به این زودی	beiːnzuːdiː
تماس	tæmɒːs
ان‌شاءالله	enʃɒːʔællɒːh
آجری	ɒːd͡ʒoɾiː
آرایه	ɒːɾɒːje
نقد	næɢd
پور	puːɾ
تحقق	tæhæɢɢoɢ
قطر	ɢætæɾ
خمیازه	xæmjɒːze
نقاش	næɢɢɒːʃ
سل	sell
سیب	siːb
نارنگی	nɒːɾenɡiː
میگو	mejɡuː
می‌خواهد	míxɒːhæd
خارج شدن	xɒːɾed͡ʒʃodæn
تایید کردن	tæʔiːdkæɾdæn
می بینمت	miːbiːnæmet
نعوظ	noʻuːz
پرستو	pæɾæstuː
بلبل	bolbol
نعل	næʔl
بستر	bestæɾ
فدراسیون روسیه	fedeɾɒːsjuːneɾuːsiːje
داری می‌خواهی	dɒːɾiːmíxɒːhiː
دانشنامه	dɒːneʃnɒːme
ضعیف	zæʔiːf
توزلا	tuːzlɒː
هدیه کردن	hedjekæɾdæn
طلاق	tælɒːɢ
تابلوی اعلانات	tɒːblojeeʔlɒːnɒːt
مولکول	molekuːl
کار کردن	kɒːɾkæɾdæn,kɒːɾkæɾdæn
اپاختر	æpɒːxtæɾ
مجازی	mæd͡ʒɒːziː
زیگ	ziːɡ
پست الکترونیکی	posteelekteɾoniːkiː
عصبانی	æsæbɒːniː
ضروری	zæɾuːɾiː
آلمانی	ɒːlmæniː
تنور	tænuːɾ
باجناق	bɒːd͡ʒenɒːɢ
شوهر کردن	ʃohæɾkæɾdæn
شترگاوپلنگ	ʃotoɾɡɒːvpælænɡ
طولانی	tuːlɒːniː
چندش	t͡ʃendeʃ
غصه	ɢosse
گاوبندی کردن	ɡɒːvbændiːkæɾdæn
دلشوره گرفتن	delʃuːɾeɡeɾeftæn
بازماندن	bɒːzmɒːndæn
کار بستن	kɒːɾbæstæn
مردانه	mæɾdɒːnæ,mæɾdɒːne
تیتر زدن	tiːtɾzædæn
منگنه کردن	mænɡænekæɾdæn
دهلی	dehliː
بهمن	bæhmæn
می‌خواهیم	míxɒːhiːm
صفر	sefɾ
رها	ɾæhɒː
شریک	ʃæɾiːk
خم کردن	xæmkæɾdæn
اکتینیم	æktiːniːjom
ساک زدن	sɒːkzædæn
سوزن	suːzæn
رضایت	ɾezɒːjæt
امتحان	emtehɒːn
بد	bæd
کراوات زدن	keɾɒːvɒːtzædæn
پنالتی زدن	penɒːltiːzædæn
خشم آوردن	xæʃmɒːvæɾdæn
تمام‌خط	tæmɒːmxæt
خاویار	xɒːvjɒːɾ
بخیه	bæxiːje
عذاب دادن	æzɒːbdɒːdæn
کاهش گرفتن	kɒːheʃɡeɾeftæn
یاری	jɒːɾiː
آمیزش جنسی مقعدی	ɒːmiːzeʃed͡ʒensiːjemæɢʔædiː
پیک	pejk
خشک زدن	xoʃkzædæn
انتظار داشتن	entezɒːɾdɒːʃtæn,entezæɾdæʃtæn
لقمه	loɢme
قهر کردن	ɢæhɾkæɾdæn
نیاز	niːjɒːz
پالایش	pɒːlɒːjeʃ
هنگ‌کنگ	honɡkonɡ
ارزان	æɾzɒːn
کک	kek
عادت	ɒːdæt,ʔɒːdæt
گریه گرفتن	ɡeɾjeɡeɾeftæn
گرسنه	ɡoɾosne
زبان انگلیسی	zæbɒːneenɡeliːsiː
کانال مانش	kɒːnɒːlmɒːnʃ
آلو بخارا	ɒːluːboxɒːɾɒː
جاکش	d͡ʒɒːkeʃ
شناوری کردن	ʃenɒːvæɾiːkæɾdæn
چندین	t͡ʃændiːn
وداع کردن	vedɒːʔkæɾdæn
برهنه	beɾæhne
پسوند	pæsvænd
سمرقند	sæmæɾɢænd
دخترخاله	doxtæɾxɒːle
خواسته‌اید	xɒːsteiːd
غلط	ɢælæt
ماده‌گاو	mɒːdeɡɒːv
آیت‌الله	ɒːjætollɒːh
واکسن	vɒːksæn
گرجی	ɡoɾd͡ʒiː
جاچسبی	d͡ʒɒːt͡ʃæsbiː
مکان‌ها	mækɒːnhɒː
گناه کردن	ɡonɒːhkæɾdæn
ذرت	dhoɾæt,zoɾɾæt
نگار	neɡɒːɾ
دسته پزندگان	dæstejepæɾændeɡɒːn
تحویل دادن	tæhviːldɒːdæn
رد شدن	ɾædʃodæn
گرمک	ɡæɾmæk
جست زدن	d͡ʒæstzædæn
سگ آبی	sæɡeɒːbiː
فتادن	fetɒːdæn
اقیانوس آرام	oɢjɒːnuːseɒːɾɒːm
فواره زدن	fævvɒːɾezædæn
دست‌خط	dæstxæt
فحش دادن	fohʃdɒːdæn
برگشت زدن	bæɾɡæʃtzædæn
خیاره	xiːjɒːɾe
جنده‌خانه	d͡ʒendexɒːne
التماس	eltemɒːs
هیدرولیک	hiːdɾoliːk
ایتالیا	iːtɒːliːjɒː
جا	d͡ʒɒː
شوکولات	ʃuːkuːlɒːt
مهندسی	mohændesiː
کارنوال	kɒːɾnevɒːl
عنبیه	ʔenæbiːje
کان	kɒːn
ضجه	zæd͡ʒd͡ʒe
کسره	kæsɾe
نبرد	næbæɾd
مارماهی	mɒːɾmɒːhiː
تنی	tæniː
شناسایی	ʃenɒːsɒːjiː
اخیرا	æxiːɾæn
خودنمایی	xodnæmɒːiː
ناخوشایند	nɒːxuːʃɒːjænd
عجان	ʔed͡ʒɒːn
حرف اضافه	hæɾfeezɒːfe
دلدار	deldɒːɾ
مشتق	moʃtæɢ
لوزون	luːzon
خماندن	xæmɒːndæn
لیتوانی	liːtvɒːniː
ورق 	væɾæɢ
قفل	ɢofl
ماندن	mɒːndæn
نواختر	nouːæxtæɾ
شکری	ʃekæɾiː
انتگرال	ænteɡɾɒːl
سامانی	sɒːmɒːniː
خواهم خواست	xɒːhæmxɒːst
گویه	ɡuːje
موی زهار	muːjezæhɒːɾ
متوجه شدید	motevæd͡ʒd͡ʒeʃodiːd
قفقاز	ɢæfɢɒːz
ترساندن	tæɾsɒːndæn
دریای خزر	dæɾjɒːjexæzæɾ
ید	jod
بادبادک	bɒːdbɒːdæk
میان گذاشتن	miːɒːnɡozɒːʃtæn
اعتقاد داشتن	eʔteɢɒːddɒːʃtæn
کم	kæm,kom
استنطاق	estentɒːɢ
ماتیک	mɒːtiːk
محک خوردن	mæhækxoɾdæn
صدپا	sædpɒː
یاد انداختن	jɒːdændɒːxtæn
پنالتی	penɒːltiː
خاتمه یافتن	xɒːtemejɒːftæn
تخم	toxm
زانو	zɒːnuː
ایرلندی	iːɾlændiː
نیمروز	niːmɾuːz
ویرایشگر	viːɾɒːjeʃɡæɾ
دوش گرفتن	duːʃɡeɾeftæn
پرشکوه	poɾʃokuːh
پشتک	pæʃtæk,poʃtæk
عدل	ædl
حلوا	hɒːlvɒː
نیزه	nejze
دگربار	deɡæɾbɒːɾ
پیش میاد دیگه	píʃmiːɒːddiːɡe
آووکادو	ɒːvokɒːdo
آزمون‌پذیری	ɒːzmuːnpæziːɾiː
شامپو کردن	ʃæmpuːkæɾdæn
نشانه‌شناسی	neʃɒːneʃenɒːsiː
ماساژ	mɒːsɒːʒ
اردو زدن	oɾduːzædæn
لذت بردن	lezzætboɾdæn
توازن قدرت	tævɒːzoneɢodɾæt
هستی‌گرایی	hæstiːɡeɾɒːjiː
جنبش	d͡ʒonbeʃ
چسب نواری	t͡ʃæsbenævɒːɾiː
میهن	miːhæn
تلنگر	tælænɡoɾ
رنج	ɾænd͡ʒ
خواسته باشی	xɒːstebɒːʃiː
بار	bɒːɾ
بخار	boxɒːɾ
قزاقی	ɢæzɒːɢiː
ارگاسم	oɾɡɒːsm
ماشين برقي	mɒːʃiːnebæɾɢiː
خو گرفتن	xuːɡeɾeftæn
هنوز	hænuːz
خلع سلاح	xælʔeselɒːh
وال	vɒːl
شک	ʃæk
سیاره	sejɒːɾe
استوار بودن	ostovɒːɾbuːdæn
سائیگون	sɒːiːɡon
له له	læhlæh
خرج کردن	xæɾd͡ʒkæɾdæn
کتک	kotæk
حاضر	hɒːzeɾ
جوش آمدن	d͡ʒuːʃɒːmædæn
ضرر کردن	zæɾæɾkæɾdæn
كه	ke
فیل	fiːl
آمریکای شمالی	ɒːmɾiːkɒːjeʃomɒːliː
پله	pelle
هشت	hæʃt
افغانی	æfɢɒːniː
شلیل	ʃæliːl
پنجول زدن	pænd͡ʒuːlzædæn
پرتاب	pæɾtɒːb
طرف	tæɾæf
اوت	uːt
قیافه	ɢiːɒːfe
رقیب	ɾæɢiːb
بزباش	bozbɒːʃ
تكرار کردن	tekɾɒːɾkæɾdæn
گیاهخوار	ɡiːjɒːhxɒːɾ
منشار	menʃɒːɾ
ششم	ʃeʃom
مصر	mesɾ
قلیان	ɢæljɒːn
ارغنون	æɾɢænuːn
احمق	æhmæɢ
نارگیل	nɒːɾɡiːl
خرس پاندا	xeɾsepɒːndɒː
تشخیص	tæʃxiːs
خاک کردن	xɒːkkæɾdæn,xɒːkkæɾdæn
در زدن	dæɾzædæn,dæɾzædæn
جاسوس	d͡ʒɒːsuːs
از کی تا حالا	æzkejtɒːhɒːlɒː
کاکائو	kɒːkɒːoje
اخراج کردن	exɾɒːd͡ʒkæɾdæn
استمنا کردن	estemnɒːkæɾdæn
زبان مادری	zæbɒːnemɒːdæɾiː
قانون زدن	ɢɒːnuːnzædæn
با هم	bɒːhæm
محبوب	mæhbuːb
صحبت کردن	sohbætkæɾdæn,sohbætkæɾdæn
عروسی	æɾuːsiː,ʔæɾuːsiː
میو	miːjuː
دق آوردن	deɢɒːvæɾdæn
ارتباط	eɾtebɒːt
سود	suːd
مهار کردن	mæhɒːɾkæɾdæn
تحقق یافتن	tæhæɢɢoɢjɒːftæn
دو زدن	dozædæn
پیاده	pjɒːde,piːjɒːde
مفهوم	mæfhuːm
استنباط	estembɒːt
آره	ɒːɾe
تانزانیا	tɒːnzɒːniːjɒː
نوشابه	nuːʃɒːbæ,nuːʃɒːbe
کاسه	kɒːse
برمه	beɾme
زن‌بابا	zænbɒːbɒː
کفش	kæfʃ
چراغ	t͡ʃeɾɒːɢ,t͡ʃeɾɒːĝ
شیعه	ʃiːʔe
هیجان	hæjæd͡ʒɒːn,hiːd͡ʒɒːn
دعوت	dæʔvæt
کاشف	kɒːʃef
تمبر زدن	tæmɾzædæn
نوشیدن	nuːʃiːdæn
بلوچی	bæluːt͡ʃiː
بلاگ	blɒːɡ
پیشی	piːʃiː
پوست کندن	puːstkændæn
عوض	ævæz
سازواره	sɒːzvɒːɾe
ماگنیتوگورسک	mɒːɡniːtuːɡuːɾsk
هما	homɒː
زنی	zæniː
قارچ	ɢɒːɾt͡ʃ
نقاشی شدن	næɢɢɒːʃiːʃodæn
تجاوز جنسی	tæd͡ʒɒːvozd͡ʒensiː
تفلیس	tiːfliːs
مخده	mæxæddæh
کلان	kælɒːn
حركت کردن	hæɾekætkæɾdæn
ارکاک	eɾkɒːk
رنده	ɾænde
عاج	ʔɒːd͡ʒ
خواندن	xɒːndæn,xwɒːndæn
صابون زدن	sɒːbuːnzædæn
بلدرچین	beldeɾt͡ʃiːn
زیرآبی	ziːɾɒːbiː
بار زدن	bɒːɾzædæn
ماضی	mɒːziː
تازه	tɒːze
وکیل	vækiːl
ایجاد	iːd͡ʒɒːd
مدد گرفتن	mædædɡeɾeftæn
آیین	ɒːjiːn
نظر کردن	næzæɾkæɾdæn
مطاله	motɒːle
فيليپ	fiːliːp
باهاما	bɒːhɒːmɒː
شل زدن	ʃælzædæn
اشتیاق	eʃtiːjɒːɢ
اپی فیلوم	epiːfiːluːm
نزدیکان	næzdiːkɒːn
جیگر	d͡ʒiːɡæɾ
فرزین	fæɾziːn
کله معلق	kællemoællæɢ
آزمودن	ɒːzmuːdæn
شتک زدن	ʃætækzædæn
خاورمیانه	xɒːvæɾemiːjɒːne
کشکک زانو	kæʃkækzɒːnuː
خط فرمان	xættefæɾmɒːn
پذیرائی	pæziːɾɒːʔiː
سرب	soɾb
تهيه کردن	tæhiːjekæɾdæn
تشخیص دادن	tæʃxiːsdɒːdæn
اقرار	eɢɾɒːɾ
آلپ	ɒːlp
خطرناک	xætæɾnɒːk
ساختمان	sɒːxtemɒːn
پادرد زدن	pɒːdæɾdzædæn
ناهمگون	nɒːhæmɡuːn
خرد کردن	xoɾdkæɾdæn,xoɾdkæɾdæn
حمله کردن	hæmlekæɾdæn
حشره‌شناسی	hæʃæɾeʃenɒːsiː
بی خوابی کشیدن	biːxɒːbiːkeʃiːdæn
جورج تائون	d͡ʒoɾd͡ʒtɒːʔuːn
قاچ کردن	ɢɒːt͡ʃkæɾdæn
کف پا	kæfepɒː
هیدروژن پراکسید	hiːdɾoʒenpeɾɒːksiːd
نمایش	næmɒːjeʃ
طرح	tæɾh
شماره‌گذاری کردن	ʃomɒːɾeɡozɒːɾiːkæɾdæn
ناشنوا	nɒːʃenævɒː
ادبی	ædæbiː
عق زدن	oɢzædæn
اشتباه شدن	eʃtebɒːhʃodæn
یاوری کردن	jɒːvæɾiːkæɾdæn
مونته‌نگرو	monteneɡɾuː
برش زدن	boɾeʃzædæn
نردبان	næɾdebɒːn,næɾdobɒːn,næɾdæbɒːn
خرمارطب	xoɾmɒːɾotæb
راست	ɾɒːst
ناشایست	nɒːʃɒːjest
معاهده	moʔɒːhæde
نطق کردن	notɢkæɾdæn
مدد	mædæd
غده	ɢodde
قومیت	ɢoʊmiːjjæt
سرو	sæɾv
پاک‌کن	pɒːkken,pɒːkkon
گماردن	ɡomɒːɾdæn
ادکلن	odkolon
تیرانداز	tiːɾændɒːz
اجرا کردن	ed͡ʒɾɒːkæɾdæn
راه انداختن	ɾɒːhændɒːxtæn
پادشاهی متحد	pɒːdeʃɒːhiːjemottæhed
سالار	sɒːlɒːɾ
خر	xæɾ
اسپریس	æspɾiːs
عربستان سعودی	ʔæɾebiːstɒːnesæʔuːdiː
آغوش	ɒːɢuːʃ
همزاد	hæmzɒːd
زمزمه کردن	zemzemekæɾdæn
نینجوتسو	niːnd͡ʒuːtsuː
بریدن	boɾiːdæn
آدم‌خواری	ɒːdæmxɒːɾiː
خط	xæt
کثافت کشیدن	kesɒːfætkeʃiːdæn
معتبر	moʔtæbæɾ
دقیق	dæɢiːɢ
قرارداد زدن	ɢæɾɒːɾdɒːdzædæn
یافتن	jɒːftæn
پیش‌بینی‌ کردن	piːʃbiːniːkæɾdæn
یقه	jæɢe
نیجریه	niːd͡ʒeɾiːje
لگام زدن	led͡ʒɒːmzædæn
خط تیره	xættetiːɾe
مخفي	mæxfiː
یوتیوب	juːtjuːb
پادرميانی کردن	pɒːdæɾmiːɒːniːkæɾdæn
عربی	æɾæbiː,ʔæɾæbiː
کارد زدن	kɒːɾdzædæn
آزادماهی	ɒːzɒːdmɒːhiː
کاغذی	kɒːɢæziː
کودکستان	kuːdækestɒːn
جوش دادن	d͡ʒuːʃdɒːdæn
روسپی‌خانه	ɾuːspiːxɒːne
شادکام	ʃɒːdkɒːm
خبط	xæbt
سلاح هسته‌ای	selɒːhehæsteʔiː
گیتی	ɡiːtiː
فرهنگستان	fæɾhænɡestɒːn
