memberitahukan	məmbˌɛritahˈukan
Th	tˌehˈa
mengingatkan	məŋiŋˈatkan
bing	bˈiŋ
Sosiologi	sˌosiolˈoɡi
Make	mˈakə
jumper	d͡ʒˈumpər
Barakah	barˈakah
Sebayang	səbˈajaŋ
Rahim	rˈahim
diakhirkan	dˌiaxˈirkan
Mabrur	mˈabrur
Ed	ˈɛd
Scorpio	st͡ʃɔrpˈio
Riki	rˈiki
Reduction	rˌɛdut͡ʃtˈion
Cibinong	t͡ʃibˈinoŋ
disinsentif	dˌisinsˈɛntif
styrene	stjrˈɛnə
Siloam	silˈoam
Muntilan	muntˈilan
Nuno	nˈuno
mengibaskan	məŋibˈaskan
aturan	atˈuran
munkar	mˈunkar
berjatuhan	bərd͡ʒatˈuhan
Sajian	sad͡ʒˈian
dibentangkan	dˌibəntˈaŋkan
bakunya	bakˈuɲa
mengumumkan	məŋumˈumkan
keberagaman	kəbˌɛraɡˈaman
Kresna	krˈɛsna
budget	bˈudɡət
Deniawan	dˌɛniˈawan
melandasinya	məlˌandasˈiɲa
Agamanya	ˌaɡamˈaɲa
OSMB	ˈosmb
Kotak	kˈotak
Gamer	ɡˈamər
golkar	ɡˈolkar
Pemberangkatan	pəmbˌɛraŋkˈatan
untk	ˈuntk
disunatkan	dˌisunˈatkan
Aqua	ˈakwa
Noverius	nˌovərˈius
terbuangnya	tərbuˈaŋɲa
jodohnya	d͡ʒodˈohɲa
dinaikan	dinˈa͡ɪkan
Enggano	əŋɡˈano
ramahnya	ramˈahɲa
multikolinieritas	mˌultikˌolinirˈitas
berperforma	bərpərfˈɔrma
ENC	ˈɛnt͡ʃ
mengamankannya	məŋˌamankˈanɲa
memeriksanya	məmˌɛriksˈaɲa
reseksi	rəsˈɛksi
favoritnya	fˌavɔrˈitɲa
shortening	shɔrtˈɛniŋ
coral	t͡ʃˈɔral
EY	ˈɛj
sehat	sˈɛhat
imunisasi	ˌimunisˈasi
Budha	bˈudha
Tamalate	tˌamalˈatə
jen	d͡ʒˈɛn
ibuk	ˈibuk
dimohonkan	dˌimohˈonkan
amatiran	ˌamatˈiran
hull	hˈul
Benda	bəndˈa
diutusnya	dˌiutˈusɲa
Hilir	hˈilir
Ihya	ˈihja
Andar	ˈandar
Notre	nˈotrə
gpp	ɡˌepˌepˈe
LHP	ˌɛlhˌapˈe
hubungkan	hubˈuŋkan
radiografi	rˌadioɡrˈafi
lights	lˈiɡhts
Penguatan	pəŋuˈatan
Supoyo	supˈojo
Fesyen	fˈɛçən
Terutang	tərˈutaŋ
penjualnya	pənd͡ʒuˈalɲa
memberhentikan	məmbˌɛrhəntˈikan
filed	fˈiləd
mempertemukannya	məmpərtˌɛmukˈanɲa
pembagian	pəmbaɡˈian
BBI	bbˈi
fun	fˈun
Talk	tˈalk
Reaktor	rəˈaktɔr
kompres	kˈomprəs
Fc	ˌɛft͡ʃˈe
Memberitahukan	məmbˌɛritahˈukan
terpajang	tərpˈad͡ʒaŋ
menyaksikannya	məɲˌaksikˈanɲa
SPKD	ˌɛspˌekˌadˈe
firefox	firˈɛfoks
Salafi	salˈafi
VISUAL	visˈual
etnik	ˈɛtnik
Summa	sˈumma
abdi	ˈabdi
Fauci	fˈa͡ʊt͡ʃi
diterima	dˌitərˈima
Sulis	sˈulis
Widowati	wˌidowˈati
Imunoterapi	ˌimunˌotərˈapi
PSIS	psˈis
Demichelis	dˌɛmiχˈɛlis
embolisasi	ˌɛmbolisˈasi
degenerative	dˌɛɡənˌɛratˈivə
pengawalnya	pəŋawˈalɲa
Hartanya	hartˈaɲa
membunyikan	məmbuɲˈikan
Jennings	d͡ʒˈɛnniŋs
Krebet	krˈɛbət
Termewah	tərmˈɛwah
Inovation	ˌinovatˈion
Akhiri	axˈiri
apartheid	ˌaparthˈɛid
bermohon	bərmˈohon
kriminalitas	krˌiminalˈitas
sek	sˈɛk
referensi	rˌɛfərˈɛnsi
Tumiwa	tumˈiwa
lebatnya	ləbˈatɲa
Wharton	whˈarton
mirisnya	mirˈisɲa
interaktif	ˌintərˈaktif
Docomo	dot͡ʃˈomo
gencar	ɡˈɛnt͡ʃar
geosentris	ɡˌɛosˈɛntris
penangkapan	pənaŋkˈapan
kleptokrasi	klˌɛptokrˈasi
Lokomotif	lˌokomˈotif
Menjelaskan	mənd͡ʒəlˈaskan
kesampaian	kəsampˈa͡ɪan
pendederan	pəndədˈɛran
berkebun	bərkˈɛbun
Colleges	t͡ʃolˈɛɡəs
berbelit	bərbˈɛlit
Melimpahnya	məlimpˈahɲa
Azulgrana	ˌazulɡrˈana
rukhshah	rˈuxshah
Senoro	sənˈɔro
mencederai	mənt͡ʃədˈɛra͡ɪ
Gerhana	ɡərhˈana
final	fˈinal
menasbihkan	mənasbˈihkan
differensial	dˌifərənsˈial
Francisca	frant͡ʃˈist͡ʃa
PCS	pˌet͡ʃˌeəs
kuwe	kˈuwə
Terpengaruh	tərpəŋˈaruh
Asmawi	asmˈawi
Microfiber	mˌit͡ʃrofˈibər
Agustian	ˌaɡustˈian
Rasheed	rashˈɛəd
modin	mˈodin
Arwani	arwˈani
Verena	vərˈɛna
irama	irˈama
Soluna	solˈuna
mistar	mˈistar
bonding	bˈondiŋ
Padang	pˈadaŋ
Salmah	sˈalmah
salafus	salˈafus
disimulasikan	dˌisimˌulasˈikan
Educational	ˌɛdut͡ʃˌatiˈonal
menggelengkan	məŋɡəlˈɛŋkan
EBTKE	ˈɛbtkə
Tug	tˈuɡ
budayakan	bˌudajˈakan
Malam	mˈalam
Chair	χˈa͡ɪr
Cipadu	t͡ʃipˈadu
Gambarkan	ɡambˈarkan
Haerudin	hˌaərˈudin
terealisasikan	tərˌɛalˌisasˈikan
Imdaad	imdˈaad
Memaksa	məmˈaksa
fiskal	fˈiskal
HOT	hˈot
Hasrul	hˈasrul
fisi	fˈisi
fiskalnya	fiskˈalɲa
alternatifnya	ˌaltərnatˈifɲa
Mela	mˈɛla
structure	strut͡ʃtˈurə
Permenakertrans	pərmˌɛnakˈɛrtrans
menyalak	məɲˈalak
dikuasakan	dˌikuasˈakan
singkirkan	siŋkˈirkan
MAKSI	mˈaksi
Socket	sˈot͡ʃkət
dimintai	dimˈinta͡ɪ
koplo	kˈoplo
icing	ˈit͡ʃiŋ
DCKTR	dˌet͡ʃˌekˈatˌeər
Theravada	thˌɛravˈada
jas	d͡ʒˈas
Obat	ˈobat
berbisnis	bərbˈisnis
Tornado	tɔrnˈado
Rona	rˈona
atik	ˈatik
honor	hˈonɔr
Letto	lˈɛtto
kewaspadaannya	kəwˌaspadaˈanɲa
suro	sˈuro
PDE	pdˈɛ
menafkahkan	mənafkˈahkan
Kweni	kwˈɛni
Perkemahan	pərkəmˈahan
stabilnya	stabˈilɲa
sanggahan	saŋɡˈahan
zalim	zˈalim
Pengganti	pəŋɡˈanti
dipepet	dipˈɛpət
Luwansa	luwˈansa
Karnawati	kˌarnawˈati
Yulian	julˈian
medisnya	mədˈisɲa
partisipan	pˌartisˈipan
atrofi	atrˈofi
Yulianto	jˌuliˈanto
Karini	karˈini
otonom	otˈonom
DLL	dˌeəlˈɛl
MTs	ˌɛmtˌeəs
nilainya	nilˈa͡ɪɲa
memilih	məmˈilih
menyelisihi	məɲˌɛlisˈihi
Yuniarti	jˌuniˈarti
Saverin	savˈɛrin
MALL	mˈal
Kompas	kˈompas
Suvenir	suvˈɛnir
Mat	mˈat
Ranger	rˈaŋər
asfiksia	ˌasfiksˈia
terjangan	tərd͡ʒˈaŋan
memaafkan	məmaˈafkan
Majah	mˈad͡ʒah
berperawakan	bərpˌɛrawˈakan
Heriawan	hˌɛriˈawan
Mundur	mˈundur
apple	ˈaplə
mengucap	məŋˈut͡ʃap
Tiffany	tˈifaɲ
Cili	t͡ʃˈili
Pengikatan	pəŋikˈatan
rempah	rˈɛmpah
shoum	shˈoum
Sunat	sˈunat
Rara	rˈara
timbullah	timbˈulah
kadar	kˈadar
takuti	takˈuti
pakain	pˈaka͡ɪn
sonikasi	sˌonikˈasi
UIM	ˈuim
persemayaman	pərsˌɛmajˈaman
Lereng	lˈɛrəŋ
Darul	dˈarul
simposium	sˌimposˈium
SEAMOLEC	səamˈolət͡ʃ
account	at͡ʃt͡ʃˈount
Draghi	drˈaɡhi
RSC	ˌɛrˌɛst͡ʃˈe
Fisiologi	fˌisiolˈoɡi
Indobatt	indˈobatt
Panam	pˈanam
preferensi	prˌɛfərˈɛnsi
Multiplier	multˈiplir
kakus	kˈakus
diapresiasikan	dˌiaprˌɛsiasˈikan
perempuanku	pərˌɛmpuˈanku
lafaz	lˈafaz
Penyajiannya	pəɲˌad͡ʒiˈanɲa
Penyuka	pəɲˈuka
pindahkan	pindˈahkan
Namum	nˈamum
Dradjat	drˈad͡ʒat
Tuan	tˈuan
Uap	ˈuap
signifikansi	sˌiɡnifikˈansi
Benhil	bənhˈil
arabnya	arˈabɲa
bertakwa	bərtˈakwa
MILF	mˈilf
olesan	olˈɛsan
terdokumentasi	tərdˌokuməntˈasi
Popda	pˈopda
BDF	bˌedˌeəf
kelesuan	kələsˈuan
mohon	mˈohon
menghaturkan	məŋhatˈurkan
keterkejutan	kətˌɛrkəd͡ʒˈutan
indeks	ˈindəks
kepandaian	kəpandˈa͡ɪan
Indrawan	indrˈawan
Disewakan	dˌisəwˈakan
Albania	ˌalbanˈia
mengelabuhi	məŋˌɛlabˈuhi
Statemen	statˈɛmən
dipelosok	dˌipəlˈosok
prosentasenya	prˌosəntasˈɛɲa
CGM	t͡ʃˌeɡˌeəm
Dwelling	dwˈɛliŋ
Coupe	t͡ʃoˈupə
Pengawal	pəŋˈawal
domainnya	domˈa͡ɪnɲa
Jeffry	d͡ʒˈɛfrj
Sadiq	sˈadik
piping	pˈipiŋ
menyamaratakan	məɲˌamaratˈakan
backpropagation	bˌat͡ʃkpropˌaɡatˈion
Ngatini	ŋatˈini
mencanangkan	mənt͡ʃanˈaŋkan
pagan	pˈaɡan
sekalipun	səkalˈipun
kambing	kˈambiŋ
hypnobirthing	hjpnobˈirthiŋ
disebakan	dˌisəbˈakan
Penrose	pənrˈosə
berpesta	bərpˈɛsta
antirasuah	ˌantirasˈuah
mereknya	mərˈɛkɲa
bernanah	bərnˈanah
tiban	tˈiban
teologi	tˌɛolˈoɡi
meruwat	mərˈuwat
bertonase	bərtonˈasə
puku	pˈuku
memilihkan	məmilˈihkan
Ternak	tˈɛrnak
penanjakan	pənand͡ʒˈakan
Yustika	justˈika
Hidayatul	hˌidajˈatul
rare	rˈarə
peristiwanya	pərˌistiwˈaɲa
PWM	pˌewˌeəm
MSF	ˌɛmˌɛsˈɛf
Sunu	sˈunu
Level	lˈɛvəl
Mistik	mˈistik
XY	zj
perkerasan	pərkərˈasan
Rush	rˈush
Baksos	bˈaksos
BPA	bpˈa
Wiwaha	wiwˈaha
kampanya	kampˈaɲa
walimah	walˈimah
berbaik	bˈɛrba͡ɪk
Integrator	ˌintəɡrˈatɔr
pilwali	pilwˈali
Wright	wrˈiɡht
berkeputusan	bərkˌɛputˈusan
Kesbanglinmas	kəsbaŋlˈinmas
Oxone	oksˈonə
sempatkanlah	səmpatkˈanlah
Harifin	harˈifin
ym	jm
kaizen	kˈa͡ɪzən
persoalannya	pərsˌoalˈanɲa
memerkenalkan	məmˌɛrkənˈalkan
saweran	sawˈɛran
injeksi	ind͡ʒˈɛksi
Rujukan	rud͡ʒˈukan
Temperatur	tˌɛmpərˈatur
Communication	t͡ʃˌommunˌit͡ʃatˈion
Clayton	t͡ʃlˈajton
CMP	t͡ʃˌeəmpˈe
Pungky	pˈuŋkj
Portofolio	pˌɔrtofolˈio
playoff	plˈajof
sintaksis	sintˈaksis
menggantung	məŋɡˈantuŋ
Juniver	d͡ʒunˈivər
Lilly	lˈilj
Muneng	mˈunəŋ
Detikmobil	dˌɛtikmˈobil
SIII	siˈii
Pengayaan	pˌɛŋajˈaan
toys	tˈojs
turboprop	turbˈoprop
fancy	fˈant͡ʃj
rofingi	rofˈiŋi
Faktorial	fˌaktɔrˈial
agroekosistem	ˌaɡrukosˈistəm
rasionalisasi	rˌasiˌonalisˈasi
kosan	kˈosan
Titik	tˈitik
beruk	bˈɛruk
Harijono	hˌarid͡ʒˈono
shallallāhu	shˌalalˈahu
Dedicated	dˌɛdit͡ʃˈatəd
Bertuah	bərtˈuah
dibakarnya	dˌibakˈarɲa
PEREMPUAN	pərəmpˈuan
IPNU	ˈipnu
Kelitbangan	kəlitbˈaŋan
membandingkannya	məmbˌandiŋkˈanɲa
penaksiran	pənaksˈiran
ngeluh	ŋˈɛluh
RIAU	rˈia͡ʊ
Malela	malˈɛla
christ	χrˈist
Icahn	ˈit͡ʃahn
DInas	dˈeˈinas
keranjang	kərˈand͡ʒaŋ
serum	sˈɛrum
rajam	rˈad͡ʒam
foreign	fɔrˈɛiɡn
crawling	t͡ʃrˈawliŋ
polyester	poljˈɛstər
Keran	kˈɛran
pendelegasian	pəndˌɛləɡasˈian
PPTI	ptˈi
Pecalang	pət͡ʃˈalaŋ
Revel	rˈɛvəl
Rante	rˈantə
labirin	labˈirin
Jajag	d͡ʒˈad͡ʒaɡ
Validitas	vˌalidˈitas
updating	updˈatiŋ
sragen	srˈaɡən
satker	sˈatkər
menyantapnya	məɲantˈapɲa
ummu	ˈummu
Tabel	tˈabəl
Intermoda	ˌintərmˈoda
dikomando	dˌikomˈando
Padati	padˈati
pergiliran	pərɡilˈiran
balasan	balˈasan
peniadaan	pənˌiadˈaan
Karhutla	karhˈutla
responsibilities	rˌɛsponsˌibilˈitis
diharmonisasi	dˌiharmˌonisˈasi
yup	jˈup
Mengapakah	məŋapˈakah
Pedurungan	pədurˈuŋan
Azpilicueta	ˌazpilˌit͡ʃuˈɛta
memiki	məmˈiki
toleransinya	tˌoləransˈiɲa
clip	t͡ʃlˈip
Tampaksiring	tˌampaksˈiriŋ
Toraja	tɔrˈad͡ʒa
Pinocchio	pˌinot͡ʃχˈio
Permukiman	pərmukˈiman
Subsektor	subsˈɛktɔr
pelaminan	pəlamˈinan
pupa	pˈupa
Soewondo	suwˈondo
Alec	ˈalət͡ʃ
rahimahullah	rˌahimahˈulah
Monas	mˈonas
hutang	hˈutaŋ
Djouhari	d͡ʒˌouhˈari
kalimantan	kˌalimˈantan
CBO	t͡ʃbˈo
BHPP	bˌehˌapˌepˈe
rek	rˈɛk
Aamiin	ˌaamˈiin
ijuk	ˈid͡ʒuk
Elder	ˈɛldər
Passion	pasˈion
Gentoo	ɡəntˈoo
Sy	ç
KRK	kˌaˌɛrkˈa
penganugerahan	pəŋˌanuɡərˈahan
etnis	ˈɛtnis
saudariku	sˌa͡ʊdarˈiku
Loyal	lˈojal
Fachrori	faχrˈɔri
supportnya	supˈɔrtɲa
daratan	darˈatan
Soccernet	sot͡ʃt͡ʃˈɛrnət
Bangli	bˈaŋli
nyambi	ɲˈambi
Vertigo	vərtˈiɡo
Meliana	məliˈana
PSDKP	pˌeəsdˈekˌapˈe
introvert	intrˈovərt
Hardtop	hˈardtop
ikonik	ikˈonik
bangkai	bˈaŋka͡ɪ
Danar	dˈanar
berjaringan	bərd͡ʒarˈiŋan
Auditor	a͡ʊdˈitɔr
Putu	pˈutu
Nasution	nˌasutˈion
Menyisir	məɲˈisir
Press	prˈɛs
dagingnya	daɡˈiŋɲa
titipan	titˈipan
Pijakan	pid͡ʒˈakan
berabe	bərˈabə
parafin	parˈafin
warangka	warˈaŋka
piroklastik	pˌiroklˈastik
nanggroe	nˈaŋɡru
gravitasinya	ɡrˌavitasˈiɲa
juri	d͡ʒˈuri
pinset	pˈinsət
Tanwir	tˈanwir
Kisaran	kisˈaran
FireEye	fˈirəˈɛjə
Xchange	zχˈaŋə
naluriah	nˌalurˈiah
Nana	nˈana
konstalasi	kˌonstalˈasi
nampang	nˈampaŋ
Hasby	hˈasbj
rise	rˈisə
NUEDC	nˈuədt͡ʃ
jajanan	d͡ʒad͡ʒˈanan
Tattoo	tattˈoo
duhai	dˈuha͡ɪ
beraliran	bəralˈiran
menunjang	mənˈund͡ʒaŋ
Tambakboyo	tˌambakbˈojo
tutuplah	tutˈuplah
pertunangan	pərtunˈaŋan
Pencapaian	pənt͡ʃapˈa͡ɪan
Wibowo	wibˈowo
Dundee	dundˈɛə
Kusdinar	kusdˈinar
Indies	ˈindis
pengepungan	pəŋəpˈuŋan
Showing	shˈowiŋ
Monaco	monˈat͡ʃo
pun	pˈun
jebakan	d͡ʒəbˈakan
Sarijaya	sˌarid͡ʒˈaja
bhikkhuni	bhikxˈuni
emperan	əmpˈɛran
berdikusi	bərdikˈusi
Tulehu	tulˈɛhu
Encyclo	ˈɛnt͡ʃjt͡ʃlo
Kemahasiswaan	kəmˌahasiswˈaan
Malang	mˈalaŋ
save	sˈavə
BKOW	bkˈow
dituakan	dˌituˈakan
infrstruktur	infrstrˈuktur
mempertanggungjawabkan	məmpərtˌaŋɡuŋd͡ʒawˈabkan
Febria	fəbrˈia
Airasia	ˌa͡ɪrasˈia
Shidarta	shidˈarta
Ef	ˈɛf
KKG	kˌakˌaɡˈe
ketela	kətˈɛla
Dukun	dˈukun
STFB	ˌɛstˌeəfbˈe
perusahaaan	pərˌusahaˈaan
lenong	lˈɛnoŋ
celsius	t͡ʃəlsˈius
Mahyeldi	mahjˈɛldi
mengcopy	məŋt͡ʃˈopj
kongkret	kˈoŋkrət
logistik	loɡˈistik
tunggang	tˈuŋɡaŋ
Alasannya	ˌalasˈanɲa
entity	ˈɛntitj
Peranakan	pəranˈakan
Alva	ˈalva
Kovenan	kovˈɛnan
Style	stjlˈɛ
memodernisasi	məmˌodərnisˈasi
Uda	ˈuda
metro	mˈɛtro
karsinoma	kˌarsinˈoma
Metal	mˈɛtal
impulsif	impˈulsif
Pucuk	pˈut͡ʃuk
preposisi	prˌɛposˈisi
dibukanya	dˌibukˈaɲa
Ludruk	lˈudruk
apaun	ˈapa͡ʊn
folio	folˈio
students	stˈudənts
DGIK	dɡˈik
kronologis	krˌonolˈoɡis
sambaran	sambˈaran
sayup	sˈajup
Nuryanti	nurjˈanti
CMOS	t͡ʃmˈos
sampar	sˈampar
AKD	ˈakd
Makhluk	mˈaxluk
bernegosiasi	bərnˌɛɡosiˈasi
boro	bˈɔro
ANRI	ˈanri
diracun	dirˈat͡ʃun
Between	bətwˈɛən
kendari	kəndˈari
Gontha	ɡˈontha
entertainment	ˌɛntərtˈa͡ɪnmənt
Trainer	trˈa͡ɪnər
Dihyah	dˈihjah
Sananwetan	sˌananwˈɛtan
Asumsi	asˈumsi
layang	lˈajaŋ
Bambang	bˈambaŋ
jarinya	d͡ʒarˈiɲa
kamus	kˈamus
Arowana	ˌarowˈana
Beats	bˈɛats
Erani	ərˈani
Tag	tˈaɡ
Resikonya	rˌɛsikˈoɲa
resimen	rəsˈimən
Satori	satˈɔri
SDB	ˌɛsdˌebˈe
lugas	lˈuɡas
Darjat	dˈard͡ʒat
terperikan	tərpərˈikan
pengarsipan	pəŋarsˈipan
Shining	shˈiniŋ
Pillow	pˈilow
tersandera	tərsandˈɛra
perspektif	pərspˈɛktif
spraying	sprˈajiŋ
terpaan	tərpˈaan
Kiky	kˈikj
Timothy	tˈimothj
Cartridge	t͡ʃartrˈidɡə
komputermu	kˌomputˈɛrmu
Melaju	məlˈad͡ʒu
hakam	hˈakam
Kepatuhan	kəpatˈuhan
sekehe	səkˈɛhə
sorenya	sɔrˈɛɲa
Muadz	mˈuadz
Creator	t͡ʃrəˈatɔr
Jarir	d͡ʒˈarir
Polsekta	polsˈɛkta
meletusnya	mələtˈusɲa
Number	nˈumbər
Purposive	pˌurposˈivə
Philipina	fˌilipˈina
kerancuan	kərant͡ʃˈuan
Datangi	datˈaŋi
Kemendes	kəmˈɛndəs
dikecam	dikˈɛt͡ʃam
Sidharta	sidhˈarta
milter	mˈiltər
Deki	dˈɛki
jacuzzi	d͡ʒat͡ʃˈuzzi
Paks	pˈaks
Damian	damˈian
fardu	fˈardu
Era	ˈɛra
Syawal	çˈawal
prakteknya	praktˈɛkɲa
Falcao	falt͡ʃˈao
interaksional	ˌintərˌaksiˈonal
Gingseng	ɡˈiŋsəŋ
Singtel	sˈiŋtəl
Imaji	imˈad͡ʒi
AKUNTANSI	ˌakuntˈansi
scudetto	st͡ʃudˈɛtto
neuropati	nˌɛuropˈati
RKUHAP	rkˈuhap
Makkasau	makkˈasa͡ʊ
Seri	sˈɛri
Margiono	mˌarɡiˈono
KPD	kˌapˌedˈe
tipes	tˈipəs
Nurhakim	nurhˈakim
maksudnya	maksˈudɲa
Griezmann	ɡrˈizmann
Stock	stˈot͡ʃk
SUGENG	sˈuɡəŋ
berdakwah	bərdˈakwah
gila	ɡˈila
Antre	ˈantrə
Rebound	rəbˈound
FPIK	fpˈik
Mens	mˈɛns
persyaratan	pərçarˈatan
reset	rˈɛsət
debitnya	dəbˈitɲa
Liberty	lˈibərtj
Azar	ˈazar
buruknya	burˈukɲa
Balaraja	bˌalarˈad͡ʒa
dngan	dŋˈan
progresi	proɡrˈɛsi
Menghadapi	məŋhadˈapi
Yohanes	johˈanəs
intersepsi	ˌintərsˈɛpsi
Lahm	lˈahm
Allan	ˈalan
menipisnya	mənipˈisɲa
KST	kˌaˌɛstˈe
bagasi	baɡˈasi
keterwakilan	kətˌɛrwakˈilan
Siro	sˈiro
perzinaan	pərzinˈaan
diakses	diˈaksəs
Mul	mˈul
UNAND	ˈunand
Toshiko	toshˈiko
Kelly	kˈɛlj
Karakternya	kˌaraktˈɛrɲa
Rawalumbu	rˌawalˈumbu
menafikkan	mənafˈikkan
fokal	fˈokal
PRESS	prˈɛs
Roy	rˈoj
Sementra	səmˈɛntra
HU	hˈu
inova	inˈova
inginnya	iŋˈinɲa
talkie	tˈalki
Olympic	ˈoljmpit͡ʃ
Titien	tˈitin
clone	t͡ʃlˈonə
basisnya	basˈisɲa
Protection	prˌotət͡ʃtˈion
Continuous	t͡ʃˌontinuˈous
APBN	ˈapbn
mendampingi	məndampˈiŋi
Visibility	vˌisibˈilitj
jauh	d͡ʒˈa͡ʊh
sepat	sˈɛpat
tesisnya	təsˈisɲa
Aisyah	ˈa͡ɪçah
livery	lˈivərj
Iban	ˈiban
pilgub	pˈilɡub
kecilku	kət͡ʃˈilku
PKG	pˌekˌaɡˈe
pauknya	pˈa͡ʊkɲa
kumpulan	kumpˈulan
menelfon	mənˈɛlfon
Agreement	ˌaɡrəˈɛmənt
Marilyn	mˈariljn
Ricoh	rˈit͡ʃoh
Mallarangeng	mˌalarˈaŋəŋ
Pierre	pˈirə
arkeolog	ˌarkəˈoloɡ
Prihanto	prihˈanto
berakal	bərˈakal
rounded	roˈundəd
kotamadya	kˌotamˈadja
Prijadi	prid͡ʒˈadi
performasi	pərfɔrmˈasi
Yulizar	julˈizar
peeling	pəˈɛliŋ
tergerus	tərɡˈɛrus
diet	dˈit
atapnya	atˈapɲa
piramid	pirˈamid
gotong	ɡˈotoŋ
jelaga	d͡ʒəlˈaɡa
Meluncur	məlˈunt͡ʃur
peka	pˈɛka
Webmail	wˈɛbma͡ɪl
kepeloporan	kəpˌɛlopˈɔran
Neila	nəˈila
Dll	dˌeəlˈɛl
Paste	pˈastə
Mori	mˈɔri
shahabiyah	shˌahabˈijah
joko	d͡ʒˈoko
GBK	ɡˌebˌekˈa
membasahi	məmbasˈahi
Hackathon	hat͡ʃkˈathon
Pengurutan	pəŋurˈutan
Yuma	jˈuma
Uni	ˈuni
Leo	lˈɛo
PermataBank	pərmˈatabˈank
Marin	mˈarin
Ibadah	ibˈadah
ghoib	ɡhˈoib
velva	vˈɛlva
bore	bˈɔrə
dikehendaki	dˌikəhəndˈaki
Pedesaan	pədəsˈaan
komunis	komˈunis
Newton	nˈɛwton
Setujui	sətud͡ʒˈui
Wanara	wanˈara
Clive	t͡ʃlˈivə
yakinkan	jakˈinkan
sebenar	səbənar
Tajudin	tad͡ʒˈudin
ingini	iŋˈini
harmonik	harmˈonik
Bukalapak	bˌukalˈapak
Spontana	spontˈana
berdokumen	bərdokˈumən
APMS	ˈapms
DivoSaga	dˈivosˈaɡa
atuhhh	ˈatuhhh
nyleneh	ɲlˈɛnəh
Parahita	pˌarahˈita
topic	tˈopit͡ʃ
Pembahasan	pəmbahˈasan
Suhana	suhˈana
Kopenhagen	kˌopənhˈaɡən
Irene	irˈɛnə
PPCPAK	pˈept͡ʃpˈak
kesedihannya	kəsˌɛdihˈanɲa
SSHD	ˌɛsˌɛshˌadˈe
Imbuh	ˈimbuh
Aleta	alˈɛta
Td	tˌedˈe
Gallo	ɡˈalo
kurus	kˈurus
luncurkan	lunt͡ʃˈurkan
pengangkatannya	pəŋˌaŋkatˈanɲa
Atalia	ˌatalˈia
Suwono	suwˈono
Keperawanan	kəpˌɛrawˈanan
YPK	jpk
Cromwell	t͡ʃrˈomwəl
SLIN	slˈin
ITK	ˈitk
Monis	mˈonis
anggur	ˈaŋɡur
Komet	kˈomət
Hanggoro	haŋɡˈɔro
adapula	ˌadapˈula
nulis	nˈulis
positip	posˈitip
Fantasy	fˈantaç
Ilkay	ˈilkaj
Old	ˈold
Bei	bˈɛi
usual	usˈual
sekte	sˈɛktə
Pasta	pˈasta
dikecewakan	dˌikət͡ʃəwˈakan
fikirannya	fˌikirˈanɲa
menyerbuk	məɲˈɛrbuk
ditemuinya	dˌitəmuˈiɲa
blueberry	bluˈɛbərrj
jelang	d͡ʒˈɛlaŋ
menata	mənˈata
Gamalama	ɡˌamalˈama
Moodle	moˈodlə
mengagumkan	məŋaɡˈumkan
doamu	doˈamu
PointBlank	pˈointblˈank
Finlandia	fˌinlandˈia
vehicle	vəhˈit͡ʃlə
Kegunaan	kəɡunˈaan
swasembada	swˌasəmbˈada
stakeholders	stˌakəhˈoldərs
Payung	pˈajuŋ
Sholahuddin	shˌolahˈuddin
bidaah	bidˈaah
Basoeki	basˈuki
Silahkan	silˈahkan
Kolonial	kˌolonˈial
ynag	jnˈaɡ
penjajahan	pənd͡ʒad͡ʒˈahan
Sekotong	səkˈotoŋ
fw	ˌɛfwˈe
yaw	jˈaw
Gramsci	ɡrˈamst͡ʃi
pramuka	pramˈuka
Flame	flˈamə
secera	sət͡ʃˈɛra
Pleret	plˈɛrət
senggama	səŋɡˈama
latest	lˈatəst
SPTJM	ˌɛspˌetˈed͡ʒˌeəm
Codeigniter	t͡ʃˌodəiɡnˈitər
Church	χˈurχ
disambungkan	dˌisambˈuŋkan
Taswin	tˈaswin
Poltabes	poltˈabəs
Gab	ɡˈab
bersilahturahmi	bərsˌilahturˈahmi
Solong	sˈoloŋ
penuntut	pənˈuntut
vulkanisir	vˌulkanˈisir
LSM	ˌɛlˌɛsˈɛm
ANDI	ˈandi
penciptanya	pənt͡ʃiptˈaɲa
wuku	wˈuku
pekuburan	pəkubˈuran
Aplikasinya	ˌaplikasˈiɲa
Akrab	ˈakrab
diposting	dipˈostiŋ
digauli	diɡˈa͡ʊli
kompresi	komprˈɛsi
Hr	hˌaˈɛr
Sudi	sˈudi
terindah	tərˈindah
rafinasi	rˌafinˈasi
Picanto	pit͡ʃˈanto
Kuatkan	kuˈatkan
salik	sˈalik
Urang	ˈuraŋ
Jahja	d͡ʒˈahd͡ʒa
UAD	ˈuad
itukan	itˈukan
endorsement	ˌɛndɔrsˈɛmənt
GAPMMI	ɡˈapmmi
Interbank	intˈɛrbank
kolektif	kolˈɛktif
Jude	d͡ʒˈudə
elektif	əlˈɛktif
PUG	pˈuɡ
Everest	əvˈɛrəst
keshahihannya	kəshˌahihˈanɲa
SRT	ˌɛsˌɛrtˈe
stadium	stadˈium
Xenon	zˈɛnon
Suhail	sˈuha͡ɪl
Wamentan	wamˈɛntan
jebak	d͡ʒˈɛbak
Pitoyo	pitˈojo
Novak	nˈovak
