leeschtungsstaark	leːʃtˈuɳstaːʀk
Beamtin	bəˈɑmtin
beigedroen	bˌɑ͡ɪgədʀˈoən
MSC	mzk
Familljendag	fˌaːmiljˈeːntaːX
Oppositiounsparteien	ˌopozˌiʦjə͡ʊnspɑʀtˈɑ͡ɪən
Bis	bˈis
Bezuele	beːʦˈu͡ələ
Mausklick	mˈɑ͡ʊzklik
printen	pʀˈintən
Extremisten	ˌækstʀəmˈistən
verspaart	fʁʃpˈaːʀt
LRSL	lʀzl
industriellen	ˌindustʀiːˈælən
ergänzt	ʁgˈænʦt
Frontalieren	fʀˌontɑljˈeːən
Electronics	ˌəleːktʀˈoːnikz
virstellt	vˈiʀztəllt
dn	dn
Schlagzeilen	ʃlaːXʦˈɑ͡ɪlən
Kreta	kʀˈeːtɑ
Krankheetsfall	kʀɑɳhˈeːtzfɑl
Mixte	mˈikstə
Apdikter	ˈɑpdiktʁ
historesch	hiʃtˈoːʀəʃ
Sammelkloe	zˌɑmeːlklˈoə
bleiwen	blˈɑ͡ɪvən
onméiglech	onmˈɜ͡ɪʑləɕ
versichten	veːʀzˈiʃteːn
Fotographen	fˌoːtogʀˈɑpheːn
Är	ˈɛːʁ
mënschlech	mˈənʃləɕ
Dan	dˈaːn
Monte	mˈontə
Traininger	tʀɑ͡ɪnˈiɳeːʀ
Gaardenhaische	gˌaːʀdənhˈɑ͡ɪʃə
ausgebilte	ˌɑ͡ʊzgəbˈiltə
released	ʀˌeːləˈaːzeːd
Schnoffelnues	ʃnofˈeːlnu͡əz
wackelt	vˈɑkəlt
erugetrueden	ˌəʀugətʀˈu͡ədən
Intensiv	intˈænziːf
degradéiert	dˌeːgʀaːdˈɜ͡ɪɐt
Virtrëtt	fˈiːʁtʀət
Rex	ʀˈeːks
Liichten	lˈiːɕtən
ausfält	ˈɑ͡ʊzfelt
knieden	knˈi͡ədən
défense	dæfˈənzə
Glenn	glˈeːn
Rebell	ʀˈeːbæl
Sue	zˈu͡ə
Distillerie	dˌiztilˈeːʀi͡ə
nogeluecht	noːgˈəlu͡əɕt
Gibéryen	ʒˌiːbæʀˈiən
Ëmwee	ˈəmweː
ëmzebauen	ˌoæmʦəbˈɑ͡ʊən
Filles	fˈileːz
coolsten	kˈoːlzteːn
Alliance	ɑlˈiɑns
mia	mˈiɑ
Onrouen	onʀˈə͡ʊən
LHCE	lhs
reduzéierter	ʀˌeːduːʦɜ͡ɪˈɐteːʀ
Bang	bˈɑɳ
ugesammelt	ˌugəzˈɑməlt
compétences	kompˈæteːnsz
Libell	lˈibæl
Schäerft	ʃˈɛːɐft
erwëschen	ʁvˈəʃən
Maxi	mˈaːksi
Attaché	ɑtˈɑXæ
erschéngt	ˈɐʃæɳt
ugerappt	ugˈəʀɑpt
Scala	zkˈaːlɑ
dräifache	dʀæː͡ɪfˈɑXə
heefegste	heːfˈeːgztə
auszesetzen	ˌɑ͡ʊzʦəzˈæʦeːn
abordabele	ˌaːboʀtaːbˈeːlə
Thüngen	thˈyːɳeːn
Flandern	flˈɑndɐn
CHEV	khˈeːv
langweilen	lɑɳvˈɑ͡ɪlən
Stross	ʃʀˈos
McCartney	mkkɑʀtnˈəiː
Natierlech	nɑtˈiːʁləɕ
Bëschbränn	bˈəʃbʀæn
ugekënnegte	ˌuːʁəkənˈeːgtə
Denken	dˈæɳkən
legitim	legˈitiːm
Intressi	intʀˈæsi
Watch	vˈɑtkh
Harddisk	hˈaːʀdiːsk
Virléiften	fiːʁlˈɜ͡ɪftən
stungen	ʃˈuɳeːn
deementspriechenden	dˌeːmeːntzpʀi͡əkhˈeːndən
dâ	dˈaː
Dumont	dˈumont
moderaten	mˌoːdɐˈaːteːn
bewaachen	bəvˈaːXən
Äusserungen	ˌo͡ɪsəʀˈuɳən
gesellschaftlecher	gˌəzeːlʃɑftlˈæɕeːʀ
Hawaii	haːvˈɑ͡ɪi
lénk	lˈeɳk
ken	kˈeːn
Elektroauto	ˌəleːktʀoˈɑ͡ʊtoː
virzitt	vˈiʀʦit
Schwësterpartei	ʃvˌəzteːʀpˈɑʀtɑ͡ɪ
eropp	ˈɐop
AM	ˈɑm
begeeschtert	bˈəgeːʃtʁt
Reliounscours	ʀˌeːliˈə͡ʊnzkə͡ʊʀz
Miwwelfestival	mˌiveːlfeːztˈiːvaːl
MACK	mˈɑk
Aacht	ˈaːXt
Präventioun	pʀɛːvˈɑ̃ːtjə͡ʊn
Cowboy	kˈovbo͡ɪ
Heischter	hˈɑ͡ɪʃteːʀ
Laos	lˈaːos
ronderem	ʀondˈɐeːm
Worf	vˈoʀf
zwëschenduerch	ʦvəʃˈeːntu͡əʀkh
zufouss	ʦˈuːfə͡ʊs
Woumat	vˈə͡ʊmɑt
Feierwon	fˈɑ͡ɪʁvoːn
Verantwortlechen	vˌeːʀɑntvoʀtlˈæɕeːn
verwarnt	fʁvˈɑʀnt
nohaltegt	noːhˈɑlteːgt
AC	ˈɑk
Francois	fʀɑnkˈoiz
Malik	mˈaːliːk
Mitsubishi	mˌitzuːbˈizhi
opgetratt	opgˈətʀɑt
Neiland	nˈɑ͡ɪlɑnt
Rebounds	ʀˈeːbə͡ʊntz
flott	flˈot
meiglechkeet	mɑ͡ɪglˈæɕkeːt
ofgehaal	ofgˈəhaːl
Grande	gʀˈɑ̃ːnd
Kilogramm	kiːlˈoːXʀɑm
Hiewamm	hˈi͡əvɑm
Upassung	upˈɑsuɳ
opliewen	oplˈi͡əvən
Musikante	mˌuːziːkˈɑntə
Onkraut	ˈonkʀæː͡ʊt
Gesinn	gˈəzin
Poliziste	pˌoːliːʦˈiztə
mise	mˈiːə
ID	ˈid
Gebléishal	gəblˈɜ͡ɪzhaːl
Haaptacteur	haːptˈɑktœːʀ
déidleche	dɜ͡ɪdlˈæɕə
Hautdesdaags	hɑ͡ʊtˈəsdaːXs
Rock	ʀˈok
gedeckten	gədˈeːkteːn
Mammen	mˈɑmən
léis	lˈɜ͡ɪz
Entrevue	ɑ̃ːtʀˈəvyː
pompös	pˈompœːs
ernennt	ˈɐnənnt
genereller	gˌəneːʀˈeːleːʀ
Koalitioune	kˌoaːlˌiːtiˈə͡ʊnə
leen	lˈeːn
iwerholl	ivˈeːʀhol
Interpretatioun	ˌintʁpʀetˈɑʦjə͡ʊn
Leidenschaften	lˌɑ͡ɪdənʃˈɑftən
Verschloss	fʁʃlˈos
Männche	mˈenkhə
Aarbechtsklima	ˌaːʁbəɕtsklˈiːmaː
Plastiksoffall	plˌɑztiksˈofɑl
Otemschutzmasken	ˌoːteːmʃutʦmˈɑzkeːn
gepackt	gˈəpɑkt
Begriefnisser	bəgʀˈi͡əfnisʁ
Kuerzfristeg	kuːʁʦfʀˈistəɕ
ausüübt	ɑ͡ʊzˈyːyːbt
Perruche	pˈæʀyʃ
Hémecht	hˈæmæɕt
erausfonnt	əʀˈæː͡ʊsfont
Hörapparat	hˌœːʀɑpˈɑʀaːt
erweidere	ˌɐvɑ͡ɪdˈɐə
géigesätzlech	gˌɜ͡ɪʑəzˈæʦləɕ
Joey	joˈəiː
Tute	tˈuːtə
Persoun	pˈeʀzə͡ʊn
Gerd	gˈəʀt
Munnerefer	mˌuneːʀˈeːfeːʀ
Verbraucherschutz	vˌeːʀbʀɑ͡ʊXˈeːʀʃutʦ
Geschäftsverband	gəʃˈæftsfʁbɑnt
son	zˈoːn
Megawatt	meːgˈaːvɑt
Grëffer	gʀˈəfʁ
ausserschoulesch	ˌɑ͡ʊseːʀʃˈə͡ʊleːʃ
Donnéën	donˈæən
opgegraff	opgˈəgʀɑf
Reuland	ʀˈo͡ɪlɑnt
Origami	ˌoːʀiːgˈaːmi
brutto	bʀˈutoː
urale	uːʀˈaːlə
Samschdes	zˈɑmʃdəs
dénge	dˈæɳə
genotzte	gənˈotʦtə
Athlet	ˈɑtleːt
Presidente	pʀˌeːziːdˈəntə
Eenzelfäll	eːnʦˈəlfæl
Theorie	teˈoʀiː
Hummer	hˈumʁ
constituéiert	kˌɑ̃ːstitˈyɜ͡ɪʁt
fondamental	fˌontaːmˈeːntaːl
Parbréif	pˈɑʀbʀɜ͡ɪf
seent	zˈeːnt
Reesend	ʀˈeːsənt
Kräizungen	kʀæː͡ɪʦˈuɳən
villen	fˈilən
virbereed	viʀbˈeːʀeːd
Béiweng	bˈɜ͡ɪvæɳ
Ausschlag	ˈæː͡ʊsʃlaːX
gebild	gˈəbilt
scientifique	zkˌi͡əntiːfˈiːku͡ə
Rythmus	ʀˈithmuːz
Bréch	bʀˈəɕ
Legende	leːgˈəntə
éischt	ˈɜ͡ɪʃt
Siidlung	zˈiːdluɳ
bi	bˈi
Regierungsmemberen	ʀˌeʑiːʀˌuɳsmɑ̃ːmbˈəʀən
afléisse	ɑflˈɜ͡ɪsə
Neies	nˈɑ͡ɪəz
Gemengeresponsabel	gˌəmeːɳˌeːʀeːzponzˈaːbeːl
Wourunner	vˈə͡ʊʀunʁ
traueren	tʀɑ͡ʊˈəʀən
commun	kˈomuːn
Schlussendlech	ʃlusˈəndləɕ
Brit	bʀˈiːt
Honnertdausenden	hˌoneːʀttɑ͡ʊsˈəndən
Champione	khˌɑmpiˈoːnə
Battle	bˈɑtlə
Pied	pˈi͡ət
réckelt	ʀˈækəlt
sécherer	zækhˈeːʀeːʀ
gäere	gɛːˈɐə
Ronderem	ʀondˈɐeːm
Finanzéiert	finˈɑnʦɜ͡ɪʁt
konkreet	kˈoɳʀeːt
Usicht	ˈuːziʃt
gedoe	gədˈoə
Ustrengung	uʃtʀˈæɳuɳ
befiercht	beːfˈiɐkht
summerlech	zˈumʁləɕ
Scheffer	ʃˈeːfeːʀ
Strache	ʃʀˈɑXə
festgeluechte	fˌeːztgəlˈu͡əkhtə
Avancen	ɑvˈɑ̃ːsən
Margue	mˈɑʀgu͡ə
Annie	ˈɑni͡ə
Reussite	ʀeːˈusit
Dréimoment	dʀɜ͡ɪmˈoːmeːnt
geniaalt	gənˈiaːlt
bio	bˈioː
Steierbedruch	ʃˌɑ͡ɪɐbˈeːdʀuX
Gesondheet	gəzˈontheːt
schwankt	ʃvˈɑɳt
agricole	ˌɑgʀiːkˈoːlə
Fabricken	fɑbʀˈikən
Tilly	tˈiliː
Kamerae	kˌaːmeːʀˈɑə
Maître	mˈɑ͡ɪtʀə
Sklaven	sklˈɑvən
Reitz	ʀˈɑ͡ɪtʦ
fungéiert	fˈuʒɜ͡ɪʁt
funktionéiert	fuɳksjˈoːnɜ͡ɪʁt
Aschnëtt	ˈɑʃnət
Engersäits	ˈæɳʁzæː͡ɪts
Mëttelwäert	mˌəteːlvˈɛːɐt
Papers	pˈaːpeːʀz
Heidegger	hɑ͡ɪdˈeːggəʀ
zeréckgeluecht	ʦˌəʀekgˈælu͡əɕt
Männer	mˈeneːʀ
absichtlech	ɑpzˈiɕtləɕ
erspueren	ʁʃpˈuːʁʀən
Lued	lˈu͡ət
verlinkt	vˈeːʀliɳt
Websäite	veːbzˈæː͡ɪtə
Verben	fʁbˈən
ënnerstëtzen	ənʁʃtˈəʦən
vermëssen	fʁmˈəsən
Sécherheetsproblem	zˌækheːʀheːtzpʀˈobleːm
Profi	pʀˈofi
Härebasket	hˌɛːɐeːbˈɑzkeːt
Conservateur	kˌonzeːʀvˈaːto͡ɪʀ
erschloe	ɐʃlˈoə
Schocki	ʃˈokiː
nehmen	nˈeːhmeːn
eropklammen	ˌəʀopklˈɑmən
Schonckert	ʃˈonkeːʀt
gejot	gˈəʑoːt
lokaliséieren	lˌokaːlˌizɜ͡ɪˈəʀən
consomméieren	kˌɑ̃ːsomɜ͡ɪˈəʀən
Europameeschterschaft	ˌo͡ɪʀoːpˌaːmeːʃtˈeːʀʃɑft
Dis	dˈiːz
Konferenz	konfˈeʀænʦ
Hiem	hˈi͡əm
Chinesesch	ʃinˈeːzəʃ
Gefale	gəfˈaːlə
fuert	fˈu͡əʀt
technologescher	tˌæɕnoːloːʁˈəʃeːʀ
Bichen	bˈiɕən
weiderzefueren	vˌɑ͡ɪdɐʦəfˈu͡əʀeːn
huelt	hˈu͡əlt
vegetaresche	vˌeːgətaːʀˈeːʃə
Museksbusiness	mˌuːzeːksbuːzˈiːneːs
Verzeien	fʁʦˈɑ͡ɪən
Benefice	benˈefis
Fridays	fʀiːdˈɑiz
Immobiliemarché	ˌimoːbˌiːli͡əmˈɑʀkhæ
kaalen	kˈaːleːn
Zuel	ʦˈu͡əl
eemol	ˈeːmoːl
ausgeschott	æː͡ʊsgˈəʃot
virechten	viːʀˈæɕteːn
matdréit	mˈɑttʀɜ͡ɪt
Erkennt	ˈɐkeːnt
was	vˈaːz
ukënnt	ˈuːkənt
Gléckwënsch	glˈekvənʃ
Airtramp	ˈɑ͡ɪʀtʀɑmp
Inspiratiounsquell	ˌinzpiːʀˌaːtiˈə͡ʊnzku͡əl
détailléiert	dˌætɑ͡ɪlˈɜ͡ɪɐt
Schwamp	ʃwˈɑmp
Simulatiounen	sˌimylɑʦjˈə͡ʊnən
Bronx	bʀˈonks
Optriede	optʀˈi͡ədə
comments	kˈomeːntz
iwwernächste	ˌiveːʀnˈekhztə
Schung	ʃˈuɳ
bloufen	blˈə͡ʊfən
Coaching	koˈɑXiɳ
Funiculaire	fˌuːniːkuːlˈɑ͡ɪʀə
Meespelt	mˈeːspəlt
verwüst	vˈeːʀvyːzt
riicht	ʀˈiːɕt
gréisstendeels	gʀɜ͡ɪstˈændeːls
higezunn	hiːgˈəʦun
mëttelfristege	mˌəteːlfʀˈizteːʃ
onangenehm	ˌonɑngˈəneːm
Daach	dˈaːX
Halo	hˈaːloː
sehr	zˈeːhʀ
Opféierunge	ˌopfɜ͡ɪɐˈuɳə
Biotopen	bˌiotˈoːpən
fonktionnéiert	fˌoɳtionˈɜ͡ɪɐt
verzeechne	vˌeːʀʦəˈəɕnə
Tennisweltranglëscht	tˌeːnizveːltʀˈɑɳləʃt
absorbéieren	ˌɑbzoʀbɜ͡ɪˈɐeːn
Pikes	pˈiːkeːz
Regierungsniveau	ʀˌeːʒiˌɐuɳzniːvˈəɑ͡ʊ
Zéiwen	ʦˈɜ͡ɪvən
Keeser	kˈeːzʁ
Läschen	lˈæʃən
Betraffene	bˌeːtʀɑfˈeːnə
Buffet	bˈyfeː
festgesat	fæstgˈəsaːt
avec	ˈaːveːk
Toy	tˈo͡ɪ
Münchener	myːnkhˈeːneːʀ
Dohir	dˈoːhiːʀ
evt	ˈəvt
sachlech	zˈɑXləɕ
Hearing	həˈaːʀiɳ
wieren	vˈiːʁʀən
Fonctionnement	fˌoɳksjoːnˈəmænt
Concernéierten	kˌonsʀnɜ͡ɪˈɐteːn
Buschbränn	bˈuʃbʀen
schlofen	ʃlˈoːfən
Feu	fˈo͡ɪ
solch	zˈolkh
ausweisen	æː͡ʊsvˈɑ͡ɪzən
Distanzéierung	dˌiztɑnʦɜ͡ɪˈɐuɳ
Support	zˈupoʀt
Anekdoten	ˌɑnækdˈoːtən
Coiffer	kwˈɑfʁ
Forschette	foʀʃˈeːtə
Ajustement	ˌaːjuztˈeːmeːnt
Virbiller	fˈiːʁbilʁ
concernant	kˈonsʀnɑnt
gefaalen	gəfˈaːleːn
Léit	lˈɜ͡ɪt
Veruerdnung	veːʀˈu͡əʀtnuɳ
kraazt	kʀˈaːʦt
opwäerten	opvˈɛːʁtən
hannerloosse	hˌɑneːʀlˈoːsə
interdisziplinären	ˌinteːʀtˌizʦiplˌiːnɛːˈɐeːn
Tragedie	tʀɑgˈədiː
Flotten	flˈotən
Nopesch	nˈoːpəʃ
deeselwechten	dˌeːzælvˈəɕtən
Ofsprooch	ˈofzpʀoːX
nërdleche	nəʀtlˈæɕə
Scheiklappen	ʃɑ͡ɪklˈɑpən
Terme	tˈeʀmə
Museksunterrecht	mˌuːzeːksuntˈeːʀæɕt
Hibléck	hˈiblek
autoriséieren	ˌɑ͡ʊtoːʀˌisɜ͡ɪˈəʀən
Positioune	pˌoːziːtiˈə͡ʊnə
Tintin	tˈintiːn
Kräizung	kʀˈæː͡ɪʦuɳ
dagdeeglech	daːXdˈeːɕləɕ
fläicht	flˈæː͡ɪʃt
version	veːʀzˈioːn
häs	hˈɛːz
recherchéieren	ʀˌəʃeʀʃɜ͡ɪˈəʀən
Formation	fˌoʀmɑtˈioːn
Hmm	hm
Steigerung	ʃtɑ͡ɪʑˈəʀuɳ
wierksam	vˈiːʁksaːm
annektéiert	ɑnˈæktɜ͡ɪʁt
shoot	zhˈoːt
Knuet	knˈu͡ət
kurséieren	kˌuʀzɜ͡ɪˈɐeːn
Tournéeën	tuʀnˈeːən
Turbo	tˈuʀboː
Staatstrauer	ʃaːtʃʀˈɑ͡ʊɐ
Bëschbrand	bˈəʃbʀɑnt
Kramer	kʀˈaːmeːʀ
Grönemeyer	gʀˌœːneːməˈiɐ
Rufft	ʀˈuft
Als	ˈɑls
LLJ	lj
Natascha	naːtˈɑʃɑ
Benzin	bˈeːnʦiːn
Léiermethoden	lˌɜ͡ɪʁmeːtˈoːdən
Nët	nˈət
onvergiesslechen	ˌonveːʀʒi͡əslˈæɕeːn
Reamenagement	ʀˌəaːmˌeːnɑʁˈəmeːnt
Mietwunnengen	mˌi͡ətvunˈəngən
Mischo	mˈiʃoː
didaktesche	dˌiːdɑktˈeːʃə
charge	ʃˈɑʀʃ
Empathie	əmpˈɑthi͡ə
verschmotzen	fʁʃmˈotzən
mathale	mɑthˈaːlə
bosseg	bˈosəɕ
traditionnellt	tʀˌaːdiːtiˈoneːlt
Berton	bˈeːʀtoːn
zoustinn	ʦˈə͡ʊztin
Parteikaart	pɑʀtˈɑ͡ɪkaːʀt
Henriette	heːnʀˈi͡ətə
Duerstellungen	dˌuːʁʃtælˈuɳən
Géisserei	gɜ͡ɪsˈəʀɑ͡ɪ
Stroumnetz	ʃʀˈə͡ʊmneːtʦ
Ausgangsspäre	ˌɑ͡ʊzgɑɳspɛːˈɐə
Respekt	ʀˈæspækt
duebeler	du͡əbˈeːleːʀ
ausgewisen	ˌæː͡ʊsgəvˈiːzən
rietsextremen	ʀˌi͡ətzeːkstʀˈeːmeːn
Supérieur	zˌuːpæʀˈi͡əuːʀ
Hannover	hɑnˈoːveːʀ
agebauten	ˌɑʁəbˈɑ͡ʊteːn
Aggressioune	ˌɑggʀeːsiˈə͡ʊnə
Gringgo	gʀˈiɳgoː
eegenem	eːgˈəneːm
Konkurrenzkampf	kˌoɳuʀˈeːnʦkɑmpf
ausgeprägt	ɑ͡ʊzgˈəpʀegt
Reading	ʀəˈaːdiɳ
Differdange	dˌifeːʀtˈɑɳə
Medernach	meːdˈɐnɑX
Pyjama	piʒˈaːmaː
groot	gʀˈoːt
Jorzéngte	joʀʦˈæɳtə
Beer	bˈeːʀ
Néckel	nˈækeːl
Sojabounen	zˌoːjaːbˈə͡ʊnən
belästegt	bəlˈæstəɕt
Gaston	gˈɑztoːn
virera	viːʀˈeːʀɑ
Realisateure	ʀˌəaːlˌiːzaːtˈo͡ɪʀə
iwerschafft	ivˈeːʀʃɑft
Radiosender	ʀaːdjˈoːzəndʁ
Experienze	ˌəkspeːʀˈi͡ənʦə
Jughurt	jˈuːXhuʀt
Dj	dj
Stierffall	ʃtˈiːʁffɑl
uvertraut	ˈufʁtʀɑ͡ʊt
aktualiséieren	ˌɑktwaːlˌizɜ͡ɪˈəʀən
obligéiert	oblˈigɜ͡ɪʁt
Landjugenddag	lˌɑntjuːʁˈəndaːX
Aarbechtslosegkeet	ˌaːʁbəɕtsloːzˈəɕkeːt
schwäizer	ʃwˈæː͡ɪʦʁ
Fronte	fʀˈontə
Desiroen	dˌeːziːʀˈoən
psychedelesch	pzˌikheːdˈeːleːʃ
besen	bˈeːsən
héichbegaabte	hˌɜ͡ɪʃbeːgˈaːbtə
Viktoria	vˌiktoːʀˈiɑ
Lockdown	lˈoktovn
kënschtlerescher	kˌənʃtleːʀˈeːʃeːʀ
Malaga	maːlˈaːXɑ
Billerbicher	bˈilʁbiɕʁ
Klimasommet	klˌiːmaːzˈomeːt
Äis	ˈæː͡ɪs
epes	ˈəpeːz
Liewensqualitéit	lˌi͡əvenskwaːlˈitɜ͡ɪt
erofzekommen	ˌɐofʦəkˈomeːn
exemplaresche	ˌəkseːmplaːʀˈeːʃə
Detailler	deːtˈɑ͡ɪleːʀ
Bau	bˈæː͡ʊ
sciences	zkˈi͡ənsz
Schmelz	ʃmˈælʦ
Deutschen	dˈo͡ɪtʃeːn
Busse	bˈusə
Chapman	khˈɑpmaːn
Offiziell	ofˈiʦjæl
Fonderie	fondˈɐi͡ə
Fortbestand	foʀtbˈeːztɑnt
opmaachen	opmˈaːXən
drai	dʀˈɑ͡ɪ
Kléngen	klˈeɳən
Robinson	ʀoːbˈinzoːn
wende	vˈeːntə
eropgesaat	ˌɐopgˈəzaːt
Eegenschaften	ˌeːʑənʃˈɑftən
berouegend	bˌəʀə͡ʊˈəʑənt
Macroen	mɑkʀˈoən
faarwege	fˈaːʀveːʃ
brennend	bʀˈeːnənt
Hemmen	hˈeːmeːn
Devils	dˈeːvilz
zukënfteger	ʦˌuːkənftˈeːgəʀ
Kameraen	kˌɑmeːʀˈaːən
Rosa	ʀˈoːzaː
ondenkbar	ondˈæɳkbaːʀ
Keng	kˈæɳ
jidderzäit	jidˈeːʀʦæː͡ɪt
Eilereng	ɑ͡ɪlˈeːʀeːɳ
Framënsch	fʀˈɑmənʃ
Editioun	eːdˈiʦjə͡ʊn
Edukatiounsminister	ˌəduːkˌaːtiˌə͡ʊnzmiːnˈizteːʀ
Landessproochen	lˌɑnteːspʀˈoːXeːn
saarlännesche	zˌaːʀlenˈeːʃə
DiCaprio	dˈikɑpʀˈioː
Iwwerzeegt	ˈivʁʦeːɕt
Strategië	ʃʀˌaːteːʒˈiə
Invitatioun	ˌɛ̃ːvitˈɑsjə͡ʊn
Wutz	vˈuʦ
ausgeschalt	æː͡ʊsgˈəʃɑlt
verdrësslech	fʁdʀˈəsləɕ
reduzéierten	ʀˌeːduːʦɜ͡ɪˈɐteːn
Räscht	ʀˈeʃt
Visiten	viːzˈiːteːn
face	fˈɑs
Territorialreform	tˌeːʀiːtˌoːʀiɑlʀˈeːfoʀm
Legotrip	leːgˈotʀiːp
Oprüstung	opʀˈyːztuɳ
Sevastova	zˌeːvɑztˈoːvɑ
Dot	dˈoːt
plastiks	plˈɑstiks
Klicken	klˈikən
verfilmen	fʁfˈilmən
Texas	tˈeːksaːz
Komerod	komˈəʀoːt
vergewaltegt	fʁgəvˈɑltəɕt
entzéien	əntʦˈɜ͡ɪən
gemacht	gˈəmɑXt
faschistesche	fˌɑʃiztˈeːʃə
Ronderëm	ʀondˈəʀəm
Parodien	pˌɑʀoːdˈiːən
Fotografie	fˌotoːgʀˈɑfiː
herrlecht	hˈeːʀlæɕt
Heescherei	heːʃˈeːʀɑ͡ɪ
Diener	dˈi͡əneːʀ
Spahn	zpˈɑhn
Barnes	bˈɑʀneːz
Winandy	viːnˈɑntiː
Eenzelpersounen	ˌeːnʦəlpeːʀzˈə͡ʊnən
Bare	bˈaːʀə
worst	vˈoʀzt
Héichten	hˈɜ͡ɪɕtən
Roudemer	ʀˈə͡ʊdəmʁ
Modifikatioun	mˌodifikˈɑʦjə͡ʊn
FB	fb
rechne	ʀˈæɕnə
Garagen	gɑʀˈaːʒən
Prenz	pʀˈeːnʦ
Konstellatioun	kˌonʃtælˈɑʦjə͡ʊn
appetitlech	ˌɑpətˈitləɕ
auszeweisen	ˌɑ͡ʊzʦəvˈɑ͡ɪsən
weini	vˈɑ͡ɪni
sein	zˈɑ͡ɪn
Privaten	pʀiːvˈaːteːn
Investmentgesellschaft	ˌinveːztmˌeːntgəzˈeːlʃɑft
neist	nˈɑ͡ɪzt
Epic	ˈəpiːk
getwittert	gətvˈiteːʀt
éng	ˈæɳ
fixéiert	fˈiksɜ͡ɪʁt
ProActif	pʀˈoːˈɑktiːf
Things	thˈiɳz
kopéiert	kˈopɜ͡ɪʁt
verréit	vˈeːʀɜ͡ɪt
Schottland	ʃˈotlɑnt
Poulet	pˈuleː
eidelt	ˈɑ͡ɪdeːlt
Spaghetti	ʃpɑgˈætiː
betreffenden	bˌeːtʀeːfˈeːndən
Ballaststoffer	bɑlˈɑst͡ʃtofʁ
ignorant	iɳˈoːʀɑ̃ː
kathouleschen	kˌɑthə͡ʊlˈeːʃeːn
CIE	kˈi͡ə
Weideres	vɑ͡ɪdˈɐeːz
su	zˈuː
héscht	hˈæʃt
Bëschofshaus	bəʃˈofzhɑ͡ʊz
eneen	ˈəneːn
Pop	pˈop
relance	ʀˈeːlɑns
Forgiarini	fˌoʀʒiaːʀˈiːni
SARS	zˈɑʀz
standardiséiert	stˌɑ̃ːndaːʀˈizɜ͡ɪʁt
oppassen	oppˈɑsən
Johny	jˈohniː
zart	ʦˈɑʀt
Hamen	hˈaːmən
confidentiel	kˌonfiːdˈənti͡əl
ofbestellen	ˌoːfbəʃtˈælən
Hinsicht	hˈinziɕt
zoubereeden	ʦˌə͡ʊbəʀˈeːdən
Roosevelt	ʀoːzˈeːveːlt
Rouden	ʀˈə͡ʊdən
kompatibel	kˌompɑtˈibəl
Decisioune	dˌeːkiːziˈə͡ʊnə
Tournoi	tuːʁnˈoːiː
Missiounen	misjˈə͡ʊnən
Data	dˈaːtɑ
Minette	mˈinæt
Poli	pˈoːli
Veterinärsinspektioun	vˌeːteːʀˌiːneʀzˌinzpeːktˈiə͡ʊn
Kleer	klˈeːʀ
Hektoliter	hˌeːktoːlˈiːteːʀ
evident	əvˈidænt
barocke	baːʀˈokə
Bake	bˈaːkə
Haydn	hˈɑidn
loss	lˈos
anzebauen	ˌɑnʦəbˈɑ͡ʊən
Schéckt	ʃˈækt
Rentrée	ʀˈɑ̃ːtʀeː
Entloossunge	ˌəntloːsˈuɳə
Minnen	mˈinən
Erika	eːʀˈikaː
beschtméiglechen	bˌeːʃtmɜ͡ɪglˈæɕeːn
héieren	hɜ͡ɪˈəʀən
registréierten	ʀˌeːʒiʃʀɜ͡ɪˈɐteːn
Paradise	pˌaːʀaːdˈiːzə
ugelackelt	ˌuːʁəlˈɑkəlt
men	mˈeːn
gewonnen	gəvˈonən
Bäigeschmaach	bæː͡ɪgˈəʃmaːX
Europäescher	ˌo͡ɪʀoːpɛːˈəʃeːʀ
Fuerpark	fˈu͡əʀpɑʀk
Gräfin	gʀˈɛːfin
Chancë	khˈɑnkə
Baart	bˈaːʀt
ës	ˈoæz
Schwaarzmaart	ʃwˈaːʀʦmaːʀt
konfrontéiert	konfʀˈontɜ͡ɪʁt
verleiert	veːʀlˈɑ͡ɪɐt
WiFi	vˈifˈi
Vuen	vˈyːən
Rubrik	ʀˈubʀik
Referendum	ʀəfʁˈændum
falscht	fˈɑlʃt
Sieg	zˈi͡ək
langweilege	lɑɳvˈɑ͡ɪleːʃ
Schoentgen	ʃoˈəntgən
maison	mˈɑ͡ɪzoːn
Fäerdegstellung	fˌɛːɐteːgztˈəlluɳ
Erscheinung	ʁʃˈɑ͡ɪnuɳ
Ozonschicht	oːʦˈonʃiʃt
Pensis	pˈænziːz
gesidd	gˈəzid
Kapuścinśki	kˌaːpuzkˈinzki
oofgeschnidden	ˌoːfgəʃnˈidən
ugëtt	ˈuːgət
ugeléiert	ugˈəlɜ͡ɪʁt
Parkierch	pɑʀkˈiɐkh
verheerend	veːʀhˈeːʀeːnt
Internetsäit	intʁnˈətzæː͡ɪt
ausléist	ˈɑ͡ʊzlɜ͡ɪzt
Playstation	plˌɑiztaːtˈioːn
zimmléch	ʦˈimlækh
Petitioun	peːtˈiʦjə͡ʊn
Politmonitor	pˌoːlitmoːnˈiːtoːʀ
Dänen	dˈɛːnən
wierfelen	viːʁfˈələn
Kapitelen	kˌɑpitˈələn
